caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case18,Process drop-off,res_1858569d-5214-4114-906e-2e90d9c61f28,Role 1,2019-05-14 09:36:57,568,0,2019-05-14 09:35:38
Case9,Prescription received,res_0b6bc884-daa3-4920-8aad-dc14c907ed5a,Role 1,2019-05-14 09:38:15,569,0,2019-05-14 09:36:45
Case8,Prescription received,res_0b6bc884-daa3-4920-8aad-dc14c907ed5a,Role 1,2019-05-14 09:39:45,570,1,2019-05-14 09:38:14
Case13,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 09:41:32,571,0,2019-05-14 09:40:02
Case5,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 09:45:07,572,0,2019-05-14 09:43:37
Case11,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 09:45:28,573,1,2019-05-14 09:43:57
Case3,Prescription received,res_1858569d-5214-4114-906e-2e90d9c61f28,Role 1,2019-05-14 09:47:52,574,0,2019-05-14 09:46:22
Case1,Prescription received,res_1858569d-5214-4114-906e-2e90d9c61f28,Role 1,2019-05-14 09:48:59,575,1,2019-05-14 09:47:28
Case10,Prescription received,res_1858569d-5214-4114-906e-2e90d9c61f28,Role 1,2019-05-14 09:58:34,576,0,2019-05-14 09:57:04
Case4,Prescription received,res_0b6bc884-daa3-4920-8aad-dc14c907ed5a,Role 1,2019-05-14 09:59:40,577,1,2019-05-14 09:58:09
Case20,Prescription received,res_0b6bc884-daa3-4920-8aad-dc14c907ed5a,Role 1,2019-05-14 09:59:55,578,2,2019-05-14 09:58:24
Case17,Process drop-off,res_0b6bc884-daa3-4920-8aad-dc14c907ed5a,Role 1,2019-05-14 10:00:15,579,0,2019-05-14 09:58:45
Case6,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 10:03:08,580,0,2019-05-14 10:01:38
Case16,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 10:03:17,581,1,2019-05-14 10:01:46
Case7,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 10:04:10,582,2,2019-05-14 10:02:39
Case12,Prescription received,res_1858569d-5214-4114-906e-2e90d9c61f28,Role 1,2019-05-14 10:11:54,583,0,2019-05-14 10:10:24
Case14,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 10:15:50,584,0,2019-05-14 10:14:20
Case19,Prescription received,res_171a8c9c-d3f9-44d3-b5e0-36cede5b9dd3,Role 1,2019-05-14 10:16:40,585,1,2019-05-14 10:15:09
