caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case1,A_SUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-05 16:44:55,101,0,2022-07-05 16:11:13
Case1,A_PARTLYSUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-05 17:49:40,101,0,2022-07-05 17:29:07
Case2,A_SUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-05 18:34:39,102,0,2022-07-05 18:00:55
Case2,A_PARTLYSUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-05 19:39:19,102,0,2022-07-05 19:18:50
Case3,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-05 20:22:47,103,0,2022-07-05 19:49:00
Case4,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-05 20:45:24,104,1,2022-07-05 20:11:16
Case3,A_PARTLYSUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-05 21:27:16,104,0,2022-07-05 21:06:52
Case4,A_PARTLYSUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-05 21:49:22,104,0,2022-07-05 21:29:32
Case5,A_SUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-05 23:18:09,105,0,2022-07-05 22:44:17
Case6,A_SUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-05 23:41:04,106,1,2022-07-05 23:06:47
Case5,A_PARTLYSUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 00:23:04,106,0,2022-07-06 00:02:11
Case6,A_PARTLYSUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-06 00:45:32,106,0,2022-07-06 00:25:10
Case7,A_SUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-06 03:28:10,107,0,2022-07-06 02:52:50
Case7,A_PARTLYSUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 04:33:20,107,0,2022-07-06 04:12:08
Case8,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 05:17:49,108,0,2022-07-06 04:42:29
Case8,A_PARTLYSUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 06:22:51,109,0,2022-07-06 06:01:46
Case9,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 06:31:01,109,0,2022-07-06 05:55:41
Case9,A_PARTLYSUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 07:35:59,109,0,2022-07-06 07:14:57
Case10,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 07:56:45,110,0,2022-07-06 07:21:33
Case11,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 08:57:37,111,0,2022-07-06 08:22:15
Case10,A_PARTLYSUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 09:01:15,111,0,2022-07-06 08:40:39
Case12,A_SUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-06 09:52:34,112,0,2022-07-06 09:17:11
Case11,A_PARTLYSUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-06 10:02:24,112,0,2022-07-06 09:41:29
Case12,A_PARTLYSUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-06 10:57:17,112,0,2022-07-06 10:36:25
Case13,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 12:01:38,113,0,2022-07-06 11:26:12
Case13,A_PARTLYSUBMITTED,res_57ccbd54-80be-495f-b867-6152e8cd31c3,Role 1,2022-07-06 13:06:17,113,0,2022-07-06 12:45:29
Case14,A_SUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 14:14:24,114,0,2022-07-06 13:38:54
Case14,A_PARTLYSUBMITTED,res_3257cec2-c580-4e42-81a6-8dd9c3146146,Role 1,2022-07-06 15:18:57,114,0,2022-07-06 14:58:14
