caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2011-06-20 02:33:00,2011-06-20 02:33:00
Case000,Create Purchase Requisition,Role 1,2011-06-20 07:35:15,2011-06-20 07:59:05
Case000,Analyze Purchase Requisition,Role 1,2011-06-20 12:39:34,2011-06-20 13:01:56
Case000,Analyze Request for Quotation,Role 3,2011-06-20 17:41:44,2011-06-20 18:01:40
Case000,end,end,2011-06-20 22:50:26,2011-06-20 23:08:17
Case001,start,start,2011-06-20 22:50:26,2011-06-20 22:50:26
Case001,Create Purchase Requisition,Role 1,2011-06-21 04:36:56,2011-06-21 04:58:09
Case001,Analyze Purchase Requisition,Role 4,2011-06-21 12:01:14,2011-06-21 12:19:49
Case001,Create Request for Quotation,Role 4,2011-06-21 19:31:14,2011-06-21 19:48:55
Case001,Analyze Request for Quotation,Role 3,2011-06-22 03:00:08,2011-06-22 03:17:31
Case001,Send Request for Quotation to Supplier,Role 3,2011-06-22 09:42:09,2011-06-22 10:01:49
Case001,Create Quotation comparison Map,Role 3,2011-06-22 16:23:38,2011-06-22 16:44:01
Case001,Analyze Quotation Comparison Map,Role 1,2011-06-22 23:21:43,2011-06-22 23:41:39
Case001,Choose best option,Role 1,2011-06-23 06:44:11,2011-06-23 07:03:24
Case001,Settle Conditions With Supplier,Role 3,2011-06-23 14:20:50,2011-06-23 14:38:19
Case001,Create Purchase Order,Role 3,2011-06-23 22:02:31,2011-06-23 22:15:51
Case001,Confirm Purchase Order,Role 2,2011-06-24 06:08:07,2011-06-24 06:24:05
Case001,Deliver Goods Services,Role 2,2011-06-24 14:41:26,2011-06-24 14:57:22
Case001,Release Purchase Order,Role 1,2011-06-24 23:18:51,2011-06-24 23:33:29
Case001,Approve Purchase Order for payment,Role 3,2011-06-25 08:25:55,2011-06-25 08:41:16
Case001,Send Invoice,Role 2,2011-06-25 17:12:18,2011-06-25 17:26:39
Case001,Release Supplier's Invoice,Role 5,2011-06-26 01:14:11,2011-06-26 01:26:46
Case001,Authorize Supplier's Invoice payment,Role 5,2011-06-26 09:11:11,2011-06-26 09:23:20
Case001,Pay Invoice,Role 5,2011-06-26 17:15:16,2011-06-26 17:27:07
Case001,end,end,2011-06-27 00:30:28,2011-06-27 00:40:06
Case002,start,start,2011-06-27 00:30:28,2011-06-27 00:30:28
Case002,Create Purchase Requisition,Role 1,2011-06-27 05:27:37,2011-06-27 05:51:46
Case002,Analyze Purchase Requisition,Role 1,2011-06-27 10:25:32,2011-06-27 10:48:13
Case002,Analyze Request for Quotation,Role 3,2011-06-27 15:21:38,2011-06-27 15:41:49
Case002,Amend Request for Quotation,Role 1,2011-06-27 20:25:22,2011-06-27 20:43:22
Case002,Analyze Request for Quotation,Role 3,2011-06-28 01:39:07,2011-06-28 01:55:39
Case002,end,Role 1,2011-06-28 08:27:26,2011-06-28 08:41:46
Case003,start,start,2011-06-28 08:27:26,2011-06-28 08:27:26
Case003,Create Purchase Requisition,Role 1,2011-06-28 16:03:35,2011-06-28 16:22:45
Case003,Analyze Purchase Requisition,Role 4,2011-06-28 23:57:33,2011-06-29 00:16:26
Case003,Create Request for Quotation,Role 4,2011-06-29 07:38:34,2011-06-29 07:57:19
Case003,Analyze Request for Quotation,Role 3,2011-06-29 14:21:30,2011-06-29 14:43:00
Case003,Amend Request for Quotation,Role 3,2011-06-29 20:51:35,2011-06-29 21:14:03
Case003,Analyze Request for Quotation,Role 3,2011-06-30 03:25:11,2011-06-30 03:48:08
Case003,Send Request for Quotation to Supplier,Role 1,2011-06-30 10:16:16,2011-06-30 10:39:11
Case003,Create Quotation comparison Map,Role 3,2011-06-30 17:58:48,2011-06-30 18:19:20
Case003,Analyze Quotation Comparison Map,Role 1,2011-07-01 02:25:47,2011-07-01 02:44:17
Case003,Choose best option,Role 1,2011-07-01 11:20:32,2011-07-01 11:37:25
Case003,Settle Conditions With Supplier,Role 3,2011-07-01 20:13:29,2011-07-01 20:28:29
Case003,Create Purchase Order,Role 3,2011-07-02 04:44:08,2011-07-02 04:57:22
Case003,Confirm Purchase Order,Role 2,2011-07-02 13:31:01,2011-07-02 13:45:32
Case003,Deliver Goods Services,Role 2,2011-07-02 21:37:48,2011-07-02 21:50:23
Case003,Release Purchase Order,Role 1,2011-07-03 05:10:16,2011-07-03 05:21:37
Case003,Approve Purchase Order for payment,Role 3,2011-07-03 12:59:08,2011-07-03 13:10:47
Case003,Send Invoice,Role 2,2011-07-03 20:00:41,2011-07-03 20:10:05
Case003,Release Supplier's Invoice,Role 5,2011-07-04 02:35:44,2011-07-04 02:44:11
Case003,Settle Dispute With Supplier,Role 5,2011-07-04 09:17:55,2011-07-04 09:28:34
Case003,Authorize Supplier's Invoice payment,Role 5,2011-07-04 16:07:17,2011-07-04 16:19:31
Case003,Pay Invoice,Role 5,2011-07-04 23:15:07,2011-07-04 23:28:38
Case003,end,end,2011-07-05 06:34:35,2011-07-05 06:50:14
Case004,start,start,2011-07-05 06:34:35,2011-07-05 06:34:35
Case004,Create Purchase Requisition,Role 1,2011-07-05 14:09:30,2011-07-05 14:28:50
Case004,Create Request for Quotation,Role 1,2011-07-05 22:02:46,2011-07-05 22:21:47
Case004,Analyze Request for Quotation,Role 3,2011-07-06 05:43:31,2011-07-06 06:02:22
Case004,Send Request for Quotation to Supplier,Role 1,2011-07-06 12:25:42,2011-07-06 12:47:17
Case004,Create Quotation comparison Map,Role 3,2011-07-06 18:55:07,2011-07-06 19:17:40
Case004,Analyze Quotation Comparison Map,Role 1,2011-07-07 01:28:57,2011-07-07 01:51:55
Case004,Choose best option,Role 1,2011-07-07 08:18:55,2011-07-07 08:41:50
Case004,Settle Conditions With Supplier,Role 3,2011-07-07 15:58:33,2011-07-07 16:19:07
Case004,Create Purchase Order,Role 3,2011-07-08 00:18:19,2011-07-08 00:36:44
Case004,Confirm Purchase Order,Role 2,2011-07-08 09:01:57,2011-07-08 09:19:01
Case004,Deliver Goods Services,Role 2,2011-07-08 17:51:14,2011-07-08 18:06:29
Case004,Release Purchase Order,Role 1,2011-07-09 02:27:04,2011-07-09 02:40:48
Case004,Approve Purchase Order for payment,Role 3,2011-07-09 11:18:13,2011-07-09 11:33:10
Case004,Send Invoice,Role 2,2011-07-09 19:32:35,2011-07-09 19:45:24
Case004,Release Supplier's Invoice,Role 5,2011-07-10 03:11:05,2011-07-10 03:22:33
Case004,Authorize Supplier's Invoice payment,Role 5,2011-07-10 11:02:04,2011-07-10 11:13:57
Case004,Pay Invoice,Role 5,2011-07-10 18:07:32,2011-07-10 18:17:07
Case004,end,end,2011-07-11 00:43:14,2011-07-11 00:51:44
Case005,start,start,2011-07-11 00:43:14,2011-07-11 00:43:14
Case005,Create Purchase Requisition,Role 1,2011-07-11 05:40:55,2011-07-11 06:05:02
Case005,Create Request for Quotation,Role 4,2011-07-11 10:39:31,2011-07-11 11:02:10
Case005,Create Request for Quotation,Role 4,2011-07-11 15:36:16,2011-07-11 15:56:25
Case005,Analyze Request for Quotation,Role 3,2011-07-11 20:40:35,2011-07-11 20:58:34
Case005,Send Request for Quotation to Supplier,Role 3,2011-07-12 01:54:48,2011-07-12 02:11:19
Case005,Create Quotation comparison Map,Role 3,2011-07-12 08:43:15,2011-07-12 08:57:35
Case005,Analyze Quotation Comparison Map,Role 1,2011-07-12 15:57:16,2011-07-12 16:11:31
Case005,Choose best option,Role 1,2011-07-12 23:24:29,2011-07-12 23:39:09
Case005,Settle Conditions With Supplier,Role 3,2011-07-13 06:53:49,2011-07-13 07:08:37
Case005,Create Purchase Order,Role 3,2011-07-13 13:34:14,2011-07-13 13:49:39
Case005,Confirm Purchase Order,Role 2,2011-07-13 20:50:47,2011-07-13 21:05:25
Case005,Deliver Goods Services,Role 2,2011-07-14 04:29:27,2011-07-14 04:44:02
Case005,Release Purchase Order,Role 1,2011-07-14 11:57:48,2011-07-14 12:11:59
Case005,Approve Purchase Order for payment,Role 3,2011-07-14 19:32:56,2011-07-14 19:46:37
Case005,Send Invoice,Role 2,2011-07-15 03:38:52,2011-07-15 03:55:09
Case005,Release Supplier's Invoice,Role 5,2011-07-15 12:31:49,2011-07-15 12:48:52
Case005,Authorize Supplier's Invoice payment,Role 5,2011-07-15 21:31:07,2011-07-15 21:46:37
Case005,Pay Invoice,Role 5,2011-07-16 06:09:20,2011-07-16 06:23:03
Case005,end,end,2011-07-16 15:02:31,2011-07-16 15:17:32
Case006,start,start,2011-07-16 15:02:31,2011-07-16 15:02:31
Case006,Create Purchase Requisition,Role 1,2011-07-16 22:06:41,2011-07-16 22:25:16
Case006,Analyze Purchase Requisition,Role 1,2011-07-17 05:16:37,2011-07-17 05:34:11
Case006,Analyze Request for Quotation,Role 3,2011-07-17 11:49:43,2011-07-17 12:08:37
Case006,Send Request for Quotation to Supplier,Role 3,2011-07-17 18:18:03,2011-07-17 18:37:06
Case006,Create Quotation comparison Map,Role 3,2011-07-18 00:47:10,2011-07-18 01:06:13
Case006,Analyze Quotation Comparison Map,Role 1,2011-07-18 05:41:17,2011-07-18 06:06:04
Case006,Choose best option,Role 1,2011-07-18 10:42:44,2011-07-18 11:07:21
Case006,Settle Conditions With Supplier,Role 3,2011-07-18 16:40:40,2011-07-18 17:03:03
Case006,Create Purchase Order,Role 3,2011-07-18 23:48:26,2011-07-19 00:07:20
Case006,Confirm Purchase Order,Role 2,2011-07-19 07:20:59,2011-07-19 07:34:28
Case006,Deliver Goods Services,Role 2,2011-07-19 15:18:04,2011-07-19 15:29:04
Case006,Release Purchase Order,Role 1,2011-07-19 23:08:23,2011-07-19 23:19:14
Case006,Approve Purchase Order for payment,Role 3,2011-07-20 06:52:57,2011-07-20 07:03:35
Case006,Send Invoice,Role 2,2011-07-20 14:01:38,2011-07-20 14:13:03
Case006,Release Supplier's Invoice,Role 5,2011-07-20 20:40:37,2011-07-20 20:55:59
Case006,Authorize Supplier's Invoice payment,Role 5,2011-07-21 04:06:15,2011-07-21 04:21:01
