caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2011-06-20 02:33:00,2011-06-20 02:33:00
Case000,Create Purchase Requisition,Role 1,2011-06-20 07:35:15,2011-06-20 07:59:05
Case000,Create Request for Quotation,Role 4,2011-06-20 12:39:34,2011-06-20 13:01:56
Case000,Create Request for Quotation,end,2011-06-20 17:41:44,2011-06-20 18:01:40
Case000,Analyze Request for Quotation,Role 3,2011-06-20 22:50:26,2011-06-20 23:08:17
Case000,Send Request for Quotation to Supplier,Role 1,2011-06-21 04:08:27,2011-06-21 04:24:54
Case000,Create Quotation comparison Map,Role 3,2011-06-21 10:58:11,2011-06-21 11:12:30
Case000,Analyze Quotation Comparison Map,Role 1,2011-06-21 18:14:34,2011-06-21 18:28:43
Case000,Choose best option,Role 1,2011-06-22 01:47:27,2011-06-22 02:01:54
Case000,Settle Conditions With Supplier,Role 3,2011-06-22 08:44:24,2011-06-22 09:00:13
Case000,Create Purchase Order,Role 3,2011-06-22 15:42:02,2011-06-22 15:57:08
Case000,Confirm Purchase Order,Role 2,2011-06-22 23:15:12,2011-06-22 23:29:30
Case000,Deliver Goods Services,Role 2,2011-06-23 07:06:58,2011-06-23 07:21:13
Case000,Release Purchase Order,Role 1,2011-06-23 14:43:24,2011-06-23 14:57:14
Case000,Approve Purchase Order for payment,Role 3,2011-06-23 22:18:30,2011-06-23 22:31:49
Case000,Send Invoice,Role 2,2011-06-24 06:23:08,2011-06-24 06:39:30
Case000,Release Supplier's Invoice,Role 5,2011-06-24 14:56:32,2011-06-24 15:12:57
Case000,Authorize Supplier's Invoice payment,Role 5,2011-06-24 23:40:27,2011-06-24 23:55:41
Case000,Pay Invoice,Role 5,2011-06-25 08:52:31,2011-06-25 09:08:21
Case000,end,end,2011-06-25 17:44:06,2011-06-25 17:58:48
Case001,start,start,2011-06-25 17:44:06,2011-06-25 17:44:06
Case001,Create Purchase Requisition,Role 1,2011-06-26 00:50:11,2011-06-26 01:08:33
Case001,Create Request for Quotation,Role 1,2011-06-26 07:33:50,2011-06-26 07:53:23
Case001,Analyze Request for Quotation,Role 3,2011-06-26 14:11:29,2011-06-26 14:31:05
Case001,end,Role 1,2011-06-26 20:46:19,2011-06-26 21:06:00
Case002,start,start,2011-06-26 20:46:19,2011-06-26 20:46:19
Case002,Create Purchase Requisition,Role 1,2011-06-27 03:51:55,2011-06-27 04:10:28
Case002,Create Request for Quotation,Role 4,2011-06-27 09:09:15,2011-06-27 09:32:37
Case002,end,end,2011-06-27 13:58:39,2011-06-27 14:21:24
Case003,start,start,2011-06-27 13:58:39,2011-06-27 13:58:39
Case003,Create Purchase Requisition,Role 1,2011-06-27 19:26:46,2011-06-27 19:49:02
Case003,Analyze Purchase Requisition,Role 1,2011-06-28 01:01:44,2011-06-28 01:22:37
Case003,Analyze Request for Quotation,Role 3,2011-06-28 08:02:34,2011-06-28 08:20:02
Case003,Amend Request for Quotation,Role 3,2011-06-28 15:20:39,2011-06-28 15:37:10
Case003,Analyze Request for Quotation,Role 3,2011-06-28 22:48:26,2011-06-28 23:04:39
Case003,Amend Request for Quotation,end,2011-06-29 06:22:52,2011-06-29 06:39:08
Case003,Analyze Request for Quotation,Role 3,2011-06-29 13:23:51,2011-06-29 13:41:52
Case003,end,Role 1,2011-06-29 20:31:08,2011-06-29 20:48:54
Case004,start,start,2011-06-29 20:31:08,2011-06-29 20:31:08
Case004,Create Purchase Requisition,Role 1,2011-06-30 03:46:38,2011-06-30 04:05:54
Case004,Analyze Purchase Requisition,Role 4,2011-06-30 11:21:10,2011-06-30 11:42:05
Case004,Create Request for Quotation,Role 4,2011-06-30 19:05:08,2011-06-30 19:25:37
Case004,Analyze Request for Quotation,Role 3,2011-07-01 02:45:35,2011-07-01 03:05:30
Case004,Send Request for Quotation to Supplier,Role 3,2011-07-01 10:11:19,2011-07-01 10:32:37
Case004,Create Quotation comparison Map,Role 3,2011-07-01 18:01:33,2011-07-01 18:21:43
Case004,Analyze Quotation Comparison Map,Role 1,2011-07-02 02:18:46,2011-07-02 02:37:41
Case004,Choose best option,Role 1,2011-07-02 10:45:47,2011-07-02 11:03:52
Case004,Settle Conditions With Supplier,Role 3,2011-07-02 19:10:59,2011-07-02 19:26:06
Case004,Create Purchase Order,Role 3,2011-07-03 02:55:51,2011-07-03 03:07:26
Case004,Confirm Purchase Order,Role 2,2011-07-03 10:50:10,2011-07-03 11:01:46
Case004,Deliver Goods Services,Role 2,2011-07-03 17:54:08,2011-07-03 18:03:27
Case004,Release Purchase Order,Role 1,2011-07-04 00:29:16,2011-07-04 00:37:37
Case004,Approve Purchase Order for payment,Role 3,2011-07-04 07:08:04,2011-07-04 07:18:35
Case004,Send Invoice,Role 2,2011-07-04 13:47:25,2011-07-04 13:59:23
Case004,Release Supplier's Invoice,Role 5,2011-07-04 20:44:51,2011-07-04 20:58:17
Case004,Authorize Supplier's Invoice payment,Role 5,2011-07-05 03:46:35,2011-07-05 04:01:54
Case004,Pay Invoice,Role 5,2011-07-05 12:05:08,2011-07-05 12:17:36
Case004,end,end,2011-07-05 20:22:09,2011-07-05 20:33:54
Case005,start,start,2011-07-05 20:22:09,2011-07-05 20:22:09
Case005,Create Purchase Requisition,Role 1,2011-07-06 04:05:23,2011-07-06 04:23:35
Case005,Create Request for Quotation,Role 4,2011-07-06 11:20:26,2011-07-06 11:41:27
Case005,Create Request for Quotation,end,2011-07-06 18:20:19,2011-07-06 18:42:18
Case005,Analyze Request for Quotation,Role 3,2011-07-07 01:10:47,2011-07-07 01:33:21
Case005,Amend Request for Quotation,Role 3,2011-07-07 07:48:33,2011-07-07 08:11:29
Case005,Analyze Request for Quotation,Role 3,2011-07-07 14:51:15,2011-07-07 15:12:09
Case005,Amend Request for Quotation,Role 1,2011-07-07 22:21:38,2011-07-07 22:40:47
Case005,Analyze Request for Quotation,Role 3,2011-07-08 06:25:50,2011-07-08 06:43:34
Case005,end,Role 1,2011-07-08 15:15:50,2011-07-08 15:33:29
Case006,start,start,2011-07-08 15:15:50,2011-07-08 15:15:50
Case006,Create Purchase Requisition,Role 1,2011-07-08 22:29:41,2011-07-08 22:49:04
Case006,Analyze Purchase Requisition,Role 4,2011-07-09 06:14:09,2011-07-09 06:32:56
Case006,end,Role 4,2011-07-09 13:34:00,2011-07-09 13:53:33
Case007,start,start,2011-06-20 02:33:00,2011-06-20 02:33:00
Case007,Create Purchase Requisition,Role 1,2011-06-20 07:35:15,2011-06-20 07:59:05
Case007,Analyze Purchase Requisition,Role 4,2011-06-20 12:39:34,2011-06-20 13:01:56
Case007,end,Role 4,2011-06-20 17:41:44,2011-06-20 18:01:40
Case008,start,start,2011-06-20 17:41:44,2011-06-20 17:41:44
Case008,Create Purchase Requisition,Role 1,2011-06-20 23:17:35,2011-06-20 23:39:23
Case008,Create Request for Quotation,Role 1,2011-06-21 05:00:39,2011-06-21 05:21:08
Case008,Analyze Request for Quotation,Role 3,2011-06-21 12:04:50,2011-06-21 12:22:07
Case008,Send Request for Quotation to Supplier,end,2011-06-21 19:24:27,2011-06-21 19:40:54
Case008,Create Quotation comparison Map,Role 3,2011-06-22 02:51:16,2011-06-22 03:07:29
Case008,Analyze Quotation Comparison Map,Role 1,2011-06-22 09:43:32,2011-06-22 10:01:43
Case008,Choose best option,Role 1,2011-06-22 16:45:46,2011-06-22 17:04:12
Case008,Settle Conditions With Supplier,Role 3,2011-06-23 00:07:20,2011-06-23 00:24:58
Case008,Create Purchase Order,Role 3,2011-06-23 07:32:57,2011-06-23 07:49:04
Case008,Confirm Purchase Order,Role 2,2011-06-23 15:16:25,2011-06-23 15:29:20
Case008,Deliver Goods Services,Role 2,2011-06-23 22:58:29,2011-06-23 23:10:54
Case008,Release Purchase Order,Role 1,2011-06-24 07:20:22,2011-06-24 07:35:58
Case008,Approve Purchase Order for payment,Role 3,2011-06-24 16:13:28,2011-06-24 16:29:18
Case008,Send Invoice,Role 2,2011-06-25 01:10:18,2011-06-25 01:25:17
Case008,Release Supplier's Invoice,Role 5,2011-06-25 10:18:40,2011-06-25 10:35:13
Case008,Authorize Supplier's Invoice payment,Role 5,2011-06-25 19:00:20,2011-06-25 19:14:28
Case008,Pay Invoice,Role 5,2011-06-26 03:11:46,2011-06-26 03:24:33
Case008,end,end,2011-06-26 11:51:53,2011-06-26 12:05:56
Case009,start,start,2011-06-26 11:51:53,2011-06-26 11:51:53
Case009,Create Purchase Requisition,Role 1,2011-06-26 18:47:03,2011-06-26 19:06:24
Case009,Create Request for Quotation,Role 1,2011-06-27 01:59:53,2011-06-27 02:18:43
Case009,Analyze Request for Quotation,Role 3,2011-06-27 06:50:23,2011-06-27 07:14:42
Case009,Send Request for Quotation to Supplier,Role 1,2011-06-27 11:14:17,2011-06-27 11:38:17
Case009,Create Quotation comparison Map,Role 3,2011-06-27 15:51:47,2011-06-27 16:13:44
Case009,Analyze Quotation Comparison Map,Role 1,2011-06-27 21:04:15,2011-06-27 21:23:53
Case009,Choose best option,Role 1,2011-06-28 02:58:00,2011-06-28 03:15:36
Case009,Settle Conditions With Supplier,Role 3,2011-06-28 10:41:57,2011-06-28 10:56:14
Case009,Create Purchase Order,Role 3,2011-06-28 18:55:07,2011-06-28 19:07:54
Case009,Confirm Purchase Order,Role 2,2011-06-29 02:46:11,2011-06-29 02:56:46
Case009,Deliver Goods Services,Role 2,2011-06-29 09:56:59,2011-06-29 10:08:10
Case009,Release Purchase Order,Role 1,2011-06-29 16:37:41,2011-06-29 16:52:38
Case009,Approve Purchase Order for payment,Role 3,2011-06-29 23:59:50,2011-06-30 00:14:09
Case009,Send Invoice,Role 2,2011-06-30 07:43:24,2011-06-30 07:57:50
Case009,Release Supplier's Invoice,Role 5,2011-06-30 15:16:14,2011-06-30 15:30:26
Case009,Authorize Supplier's Invoice payment,Role 5,2011-06-30 22:50:06,2011-06-30 23:03:43
Case009,Pay Invoice,Role 5,2011-07-01 06:51:22,2011-07-01 07:07:36
