caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2011-06-20 02:33:00,2011-06-20 02:33:00
Case000,Create Purchase Requisition,Role 1,2011-06-20 07:35:15,2011-06-20 07:59:05
Case000,Analyze Purchase Requisition,Role 1,2011-06-20 12:39:34,2011-06-20 13:01:56
Case000,Analyze Request for Quotation,Role 4,2011-06-20 17:41:44,2011-06-20 18:01:40
Case000,Send Request for Quotation to Supplier,Role 3,2011-06-20 22:50:26,2011-06-20 23:08:17
Case000,Create Quotation comparison Map,Role 3,2011-06-21 04:08:27,2011-06-21 04:24:54
Case000,Analyze Quotation Comparison Map,Role 1,2011-06-21 10:58:11,2011-06-21 11:12:30
Case000,Choose best option,Role 1,2011-06-21 18:14:34,2011-06-21 18:28:43
Case000,Settle Conditions With Supplier,Role 3,2011-06-22 01:47:27,2011-06-22 02:01:54
Case000,Create Purchase Order,Role 3,2011-06-22 08:44:24,2011-06-22 09:00:13
Case000,Confirm Purchase Order,Role 2,2011-06-22 15:42:02,2011-06-22 15:57:08
Case000,Deliver Goods Services,Role 2,2011-06-22 23:15:12,2011-06-22 23:29:30
Case000,Release Purchase Order,Role 1,2011-06-23 07:06:58,2011-06-23 07:21:13
Case000,Approve Purchase Order for payment,Role 3,2011-06-23 14:43:24,2011-06-23 14:57:14
Case000,Send Invoice,Role 2,2011-06-23 22:18:30,2011-06-23 22:31:49
Case000,Release Supplier's Invoice,Role 5,2011-06-24 06:23:08,2011-06-24 06:39:30
Case000,Authorize Supplier's Invoice payment,Role 5,2011-06-24 14:56:32,2011-06-24 15:12:57
Case000,Pay Invoice,Role 5,2011-06-24 23:40:27,2011-06-24 23:55:41
Case000,end,end,2011-06-25 08:52:31,2011-06-25 09:08:21
Case001,start,start,2011-06-25 08:52:31,2011-06-25 08:52:31
Case001,Create Purchase Requisition,Role 1,2011-06-25 15:51:50,2011-06-25 16:10:56
Case001,Analyze Purchase Requisition,Role 4,2011-06-25 23:00:02,2011-06-25 23:17:58
Case001,Create Request for Quotation,Role 4,2011-06-26 05:50:33,2011-06-26 06:07:57
Case001,Analyze Request for Quotation,Role 3,2011-06-26 12:10:48,2011-06-26 12:29:38
Case001,Send Request for Quotation to Supplier,Role 1,2011-06-26 18:29:37,2011-06-26 18:48:34
Case001,Create Quotation comparison Map,Role 3,2011-06-27 00:55:25,2011-06-27 01:14:25
Case001,Analyze Quotation Comparison Map,Role 1,2011-06-27 06:06:32,2011-06-27 06:31:38
Case001,Choose best option,Role 1,2011-06-27 11:41:50,2011-06-27 12:07:05
Case001,Settle Conditions With Supplier,Role 3,2011-06-27 18:30:30,2011-06-27 18:52:36
Case001,Create Purchase Order,Role 3,2011-06-28 02:08:06,2011-06-28 02:23:47
Case001,Confirm Purchase Order,Role 2,2011-06-28 10:34:37,2011-06-28 10:46:46
Case001,Deliver Goods Services,Role 2,2011-06-28 18:50:34,2011-06-28 19:01:54
Case001,Release Purchase Order,Role 1,2011-06-29 02:56:39,2011-06-29 03:07:55
Case001,Approve Purchase Order for payment,Role 3,2011-06-29 10:34:32,2011-06-29 10:46:21
Case001,Send Invoice,Role 2,2011-06-29 17:43:56,2011-06-29 17:55:45
Case001,Release Supplier's Invoice,Role 5,2011-06-30 00:15:26,2011-06-30 00:30:45
Case001,Settle Dispute With Supplier,Role 5,2011-06-30 07:15:06,2011-06-30 07:29:56
Case001,Authorize Supplier's Invoice payment,Role 5,2011-06-30 14:42:59,2011-06-30 14:56:52
Case001,Pay Invoice,Role 5,2011-06-30 22:23:06,2011-06-30 22:36:27
Case001,end,end,2011-07-01 06:36:45,2011-07-01 06:52:30
Case002,start,start,2011-07-01 06:36:45,2011-07-01 06:36:45
Case002,Create Purchase Requisition,Role 1,2011-07-01 13:40:57,2011-07-01 14:01:13
Case002,Analyze Purchase Requisition,Role 4,2011-07-01 21:17:31,2011-07-01 21:37:09
Case002,Create Request for Quotation,Role 4,2011-07-02 04:54:11,2011-07-02 05:13:34
Case002,Analyze Request for Quotation,Role 3,2011-07-02 12:01:54,2011-07-02 12:22:04
Case002,end,Role 1,2011-07-02 18:53:04,2011-07-02 19:11:30
Case003,start,start,2011-07-02 18:53:04,2011-07-02 18:53:04
Case003,Create Purchase Requisition,Role 1,2011-07-03 01:59:57,2011-07-03 02:18:14
Case003,Analyze Purchase Requisition,Role 1,2011-07-03 08:45:12,2011-07-03 09:04:37
Case003,Analyze Request for Quotation,Role 3,2011-07-03 15:24:19,2011-07-03 15:43:47
Case003,Amend Request for Quotation,Role 3,2011-07-03 22:00:42,2011-07-03 22:20:15
Case003,Analyze Request for Quotation,Role 3,2011-07-04 04:41:02,2011-07-04 05:00:31
Case003,Send Request for Quotation to Supplier,Role 1,2011-07-04 09:29:08,2011-07-04 09:54:36
Case003,Create Quotation comparison Map,Role 3,2011-07-04 14:25:45,2011-07-04 14:51:04
Case003,Analyze Quotation Comparison Map,Role 1,2011-07-04 20:23:31,2011-07-04 20:46:28
Case003,Choose best option,Role 1,2011-07-05 03:31:50,2011-07-05 03:50:57
Case003,Settle Conditions With Supplier,Role 3,2011-07-05 11:49:56,2011-07-05 12:02:28
Case003,Create Purchase Order,Role 3,2011-07-05 19:50:23,2011-07-05 20:01:59
Case003,Confirm Purchase Order,Role 2,2011-07-06 04:00:23,2011-07-06 04:11:34
Case003,Deliver Goods Services,Role 2,2011-07-06 11:39:36,2011-07-06 11:50:58
Case003,Release Purchase Order,Role 1,2011-07-06 18:56:00,2011-07-06 19:07:22
Case003,Approve Purchase Order for payment,Role 3,2011-07-07 02:01:39,2011-07-07 02:16:18
Case003,Send Invoice,Role 2,2011-07-07 09:19:12,2011-07-07 09:33:34
Case003,Release Supplier's Invoice,Role 5,2011-07-07 16:52:12,2011-07-07 17:05:32
Case003,Authorize Supplier's Invoice payment,Role 5,2011-07-08 00:35:12,2011-07-08 00:48:13
Case003,Pay Invoice,Role 5,2011-07-08 08:56:41,2011-07-08 09:13:56
Case003,end,end,2011-07-08 17:48:39,2011-07-08 18:04:47
Case004,start,start,2011-07-08 17:48:39,2011-07-08 17:48:39
Case004,Create Purchase Requisition,Role 1,2011-07-09 01:05:13,2011-07-09 01:24:22
Case004,Analyze Purchase Requisition,Role 1,2011-07-09 08:24:20,2011-07-09 08:43:58
Case004,Create Request for Quotation,end,2011-07-09 15:28:18,2011-07-09 15:46:59
Case004,Analyze Request for Quotation,Role 1,2011-07-09 22:18:07,2011-07-09 22:35:43
Case004,Send Request for Quotation to Supplier,Role 3,2011-07-10 04:53:20,2011-07-10 05:09:47
Case004,Create Quotation comparison Map,Role 3,2011-07-10 11:21:25,2011-07-10 11:38:12
Case004,Analyze Quotation Comparison Map,Role 1,2011-07-10 18:00:40,2011-07-10 18:16:11
Case004,Choose best option,Role 1,2011-07-11 00:55:03,2011-07-11 01:09:29
Case004,Settle Conditions With Supplier,Role 3,2011-07-11 07:32:12,2011-07-11 07:49:30
Case004,Create Purchase Order,Role 3,2011-07-11 14:25:24,2011-07-11 14:40:16
Case004,Confirm Purchase Order,Role 2,2011-07-11 21:09:27,2011-07-11 21:27:01
Case004,Deliver Goods Services,Role 2,2011-07-12 04:40:24,2011-07-12 04:55:47
Case004,Release Purchase Order,Role 1,2011-07-12 13:05:25,2011-07-12 13:17:38
Case004,Approve Purchase Order for payment,Role 3,2011-07-12 21:20:57,2011-07-12 21:32:26
Case004,Send Invoice,Role 2,2011-07-13 05:26:23,2011-07-13 05:37:49
Case004,Release Supplier's Invoice,Role 5,2011-07-13 13:06:24,2011-07-13 13:18:27
Case004,Authorize Supplier's Invoice payment,Role 5,2011-07-13 20:20:01,2011-07-13 20:32:03
Case004,Pay Invoice,Role 5,2011-07-14 03:09:12,2011-07-14 03:24:42
Case004,end,end,2011-07-14 10:30:02,2011-07-14 10:45:07
Case005,start,start,2011-07-14 10:30:02,2011-07-14 10:30:02
Case005,Create Purchase Requisition,Role 1,2011-07-14 18:03:17,2011-07-14 18:22:41
Case005,Analyze Purchase Requisition,Role 1,2011-07-15 02:14:05,2011-07-15 02:33:14
Case005,Analyze Request for Quotation,Role 3,2011-07-15 09:56:20,2011-07-15 10:17:32
Case005,end,Role 3,2011-07-15 17:43:37,2011-07-15 18:04:25
Case006,start,start,2011-07-15 17:43:37,2011-07-15 17:43:37
Case006,Create Purchase Requisition,Role 1,2011-07-16 01:00:05,2011-07-16 01:19:14
Case006,Analyze Purchase Requisition,Role 4,2011-07-16 08:19:07,2011-07-16 08:38:45
Case006,end,Role 4,2011-07-16 15:23:04,2011-07-16 15:41:45
Case007,start,start,2011-06-20 02:33:00,2011-06-20 02:33:00
Case007,Create Purchase Requisition,Role 1,2011-06-20 07:35:15,2011-06-20 07:59:05
Case007,Analyze Purchase Requisition,Role 4,2011-06-20 12:39:34,2011-06-20 13:01:56
Case007,Create Request for Quotation,end,2011-06-20 17:41:44,2011-06-20 18:01:40
Case007,Analyze Request for Quotation,Role 3,2011-06-20 22:50:26,2011-06-20 23:08:17
Case007,Amend Request for Quotation,end,2011-06-21 04:08:27,2011-06-21 04:24:54
Case007,Analyze Request for Quotation,Role 3,2011-06-21 10:58:11,2011-06-21 11:12:30
Case007,end,Role 1,2011-06-21 18:14:34,2011-06-21 18:28:43
Case008,start,start,2011-06-21 18:14:34,2011-06-21 18:14:34
Case008,Create Purchase Requisition,Role 1,2011-06-22 01:56:38,2011-06-22 02:15:00
Case008,Analyze Purchase Requisition,Role 4,2011-06-22 09:09:18,2011-06-22 09:30:30
Case008,Create Request for Quotation,Role 4,2011-06-22 16:06:51,2011-06-22 16:28:59
Case008,Analyze Request for Quotation,Role 3,2011-06-22 22:56:04,2011-06-22 23:18:44
Case008,Send Request for Quotation to Supplier,end,2011-06-23 05:43:30,2011-06-23 06:06:33
Case008,Create Quotation comparison Map,Role 3,2011-06-23 12:24:36,2011-06-23 12:47:23
Case008,Analyze Quotation Comparison Map,Role 1,2011-06-23 19:31:58,2011-06-23 19:52:26
