caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case5,W_Nabellen offertes,res_7656cce0-4480-433d-a2a1-44a1b5a15377,Role 1,2012-02-13 20:44:30,290,0,0.0,2012-02-13 20:41:39
Case2,W_Completeren aanvraag,res_7656cce0-4480-433d-a2a1-44a1b5a15377,Role 1,2012-02-13 20:45:53,291,1,0.030303030303030304,2012-02-13 20:43:03
Case3,W_Completeren aanvraag,res_6680a521-016d-415e-a087-64845106efbb,Role 1,2012-02-13 20:54:01,291,1,0.0,2012-02-13 20:51:12
Case1,W_Completeren aanvraag,res_052e15af-7ac5-4d5d-8d49-060a8027a76e,Role 1,2012-02-13 21:01:51,292,1,0.0,2012-02-13 20:59:02
Case4,W_Completeren aanvraag,res_402f6b23-85e7-47b0-8539-0545b027e3d0,Role 1,2012-02-13 21:17:40,292,1,0.0,2012-02-13 21:14:51
Case6,W_Afhandelen leads,res_402f6b23-85e7-47b0-8539-0545b027e3d0,Role 1,2012-02-13 21:18:33,293,1,0.030303030303030304,2012-02-13 21:15:41
Case7,W_Afhandelen leads,res_827288cb-34c4-4068-bf60-e7c645be55d2,Role 1,2012-02-13 21:52:14,294,1,0.0,2012-02-13 21:49:23
Case10,W_Afhandelen leads,res_0e37f114-0af7-452c-830c-bbfc0f133f9e,Role 1,2012-02-13 22:06:34,294,1,0.0,2012-02-13 22:03:43
Case4,W_Nabellen offertes,res_88984e6d-9a2e-4449-befa-2a91da6a96c9,Role 1,2012-02-13 22:10:40,293,0,0.0,2012-02-13 22:08:12
Case8,W_Completeren aanvraag,res_89b5b8b2-a160-4196-9b30-491b751a3bf3,Role 1,2012-02-13 22:17:07,293,1,0.0,2012-02-13 22:14:18
Case11,W_Afhandelen leads,res_ac1f9747-e075-4418-8324-091eb4378071,Role 1,2012-02-13 22:26:29,293,1,0.0,2012-02-13 22:23:38
Case9,W_Nabellen offertes,res_524c1daf-d3e3-4744-958e-7ea85e92ea36,Role 1,2012-02-13 22:31:11,294,0,0.0,2012-02-13 22:28:21
Case13,W_Completeren aanvraag,res_827288cb-34c4-4068-bf60-e7c645be55d2,Role 1,2012-02-13 22:54:44,295,1,0.0,2012-02-13 22:51:55
Case12,W_Completeren aanvraag,res_4d827d79-ab99-4425-9042-f19064d32db5,Role 1,2012-02-13 23:13:46,295,1,0.0,2012-02-13 23:10:58
Case2,W_Nabellen offertes,res_524c1daf-d3e3-4744-958e-7ea85e92ea36,Role 1,2012-02-13 23:26:55,294,0,0.0,2012-02-13 23:24:29
Case14,W_Completeren aanvraag,res_524c1daf-d3e3-4744-958e-7ea85e92ea36,Role 1,2012-02-13 23:27:22,295,1,0.030303030303030304,2012-02-13 23:24:33
Case3,W_Nabellen offertes,res_65c26876-d1dd-4101-9fdd-be5c3e3b399b,Role 1,2012-02-13 23:35:39,293,0,0.0,2012-02-13 23:33:12
Case11,W_Completeren aanvraag,res_1d1742d0-2d4f-458a-a9c1-5ff172c98a26,Role 1,2012-02-13 23:38:55,292,1,0.0,2012-02-13 23:36:21
Case6,W_Nabellen offertes,res_f8017354-a6ff-4c17-91a3-44c119d8bdf7,Role 1,2012-02-14 00:01:23,292,0,0.0,2012-02-13 23:58:56
Case15,W_Afhandelen leads,res_402f6b23-85e7-47b0-8539-0545b027e3d0,Role 1,2012-02-14 02:21:43,292,1,0.0,2012-02-14 02:18:51
Case17,W_Completeren aanvraag,res_f786c266-0368-4f44-93d7-64df0339f796,Role 1,2012-02-14 03:39:44,292,1,0.0,2012-02-14 03:36:54
Case16,W_Afhandelen leads,res_e157d18b-1d2c-41cb-b01a-ef2d8d94bb7e,Role 1,2012-02-14 04:03:44,293,1,0.0,2012-02-14 04:00:53
Case19,W_Completeren aanvraag,res_65c26876-d1dd-4101-9fdd-be5c3e3b399b,Role 1,2012-02-14 04:57:26,294,1,0.0,2012-02-14 04:54:36
Case18,W_Afhandelen leads,res_1d1742d0-2d4f-458a-a9c1-5ff172c98a26,Role 1,2012-02-14 05:17:26,295,1,0.0,2012-02-14 05:14:35
Case19,W_Afhandelen leads,res_cec73806-2602-435d-a420-6c42d4d661a0,Role 1,2012-02-14 05:34:42,295,1,0.0,2012-02-14 05:32:03
Case20,W_Afhandelen leads,res_cec73806-2602-435d-a420-6c42d4d661a0,Role 1,2012-02-14 05:35:22,296,2,0.030303030303030304,2012-02-14 05:32:33
Case22,W_Completeren aanvraag,res_ac1f9747-e075-4418-8324-091eb4378071,Role 1,2012-02-14 05:49:08,296,1,0.0,2012-02-14 05:46:19
Case21,W_Afhandelen leads,res_2c9e6d11-9989-4a00-b7bc-366cd6c61a53,Role 1,2012-02-14 05:55:58,297,1,0.0,2012-02-14 05:53:07
Case16,W_Beoordelen fraude,res_cfc0061f-72b6-47a2-843b-6c3ad6292191,Role 6,2012-02-14 06:02:53,296,0,0.0,2012-02-14 05:59:57
Case19,W_Afhandelen leads,res_88984e6d-9a2e-4449-befa-2a91da6a96c9,Role 1,2012-02-14 06:29:07,295,1,0.0,2012-02-14 06:26:35
Case23,W_Completeren aanvraag,res_88984e6d-9a2e-4449-befa-2a91da6a96c9,Role 1,2012-02-14 06:36:52,296,1,0.0,2012-02-14 06:34:03
Case24,W_Nabellen offertes,res_65c26876-d1dd-4101-9fdd-be5c3e3b399b,Role 1,2012-02-14 06:47:13,297,0,0.0,2012-02-14 06:44:22
