caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2020-08-17 14:00:26.766,2020-08-17 14:00:26.766
Case000,A,Role 5,2020-08-17 14:01:05.766,2020-08-17 14:06:32.766
Case000,B,Role 5,2020-08-17 14:23:34.766,2020-08-17 14:27:06.766
Case000,E,Role 5,2020-08-17 14:54:21.766,2020-08-17 14:55:49.766
Case000,F,Role 5,2020-08-17 14:55:49.766,2020-08-17 14:56:57.766
Case000,C,Role 5,2020-08-17 14:56:57.766,2020-08-17 14:59:19.766
Case000,D,Role 5,2020-08-17 14:59:19.766,2020-08-17 15:04:07.766
Case000,H,Role 5,2020-08-17 15:04:07.766,2020-08-17 15:10:26.766
Case000,G,Role 5,2020-08-17 15:10:26.766,2020-08-17 15:13:03.766
Case000,I,Role 5,2020-08-17 16:44:45.766,2020-08-17 16:47:49.766
Case000,J,Role 5,2020-08-17 17:43:20.766,2020-08-17 17:51:28.766
Case000,K,Role 5,2020-08-17 19:06:04.766,2020-08-17 19:06:58.766
Case000,M,Role 5,2020-08-17 20:10:56.766,2020-08-17 20:18:40.766
Case000,U,Role 1,2020-08-17 20:18:40.766,2020-08-17 20:26:00.766
Case000,V,Role 1,2020-08-17 20:26:00.766,2020-08-17 21:18:50.766
Case000,X,Role 1,2020-08-17 21:18:50.766,2020-08-17 21:26:42.766
Case000,R,Role 2,2020-08-17 21:27:20.766,2020-08-17 22:34:28.766
Case000,S,Role 2,2020-08-17 22:34:28.766,2020-08-17 22:39:06.766
Case000,T,Role 2,2020-08-17 22:39:06.766,2020-08-17 22:43:02.766
Case000,I,end,2020-08-17 22:43:02.766,2020-08-17 22:43:18.766
Case000,J,Role 5,2020-08-17 22:43:42.766,2020-08-17 22:53:47.766
Case000,K,Role 5,2020-08-17 22:54:37.766,2020-08-17 22:57:01.766
Case000,O,Role 5,2020-08-17 22:57:03.766,2020-08-17 23:02:58.766
Case000,end,Role 5,2020-08-17 23:02:58.766,2020-08-17 23:07:48.766
Case001,start,start,2020-08-17 23:02:58.766,2020-08-17 23:02:58.766
Case001,A,Role 5,2020-08-17 23:06:48.766,2020-08-17 23:11:45.766
Case001,B,Role 5,2020-08-17 23:38:50.766,2020-08-17 23:41:56.766
Case001,E,Role 5,2020-08-18 00:16:11.766,2020-08-18 00:17:30.766
Case001,F,Role 5,2020-08-18 00:17:30.766,2020-08-18 00:18:41.766
Case001,C,Role 5,2020-08-18 00:18:41.766,2020-08-18 00:21:34.766
Case001,D,Role 5,2020-08-18 00:21:34.766,2020-08-18 00:27:08.766
Case001,H,Role 5,2020-08-18 00:27:08.766,2020-08-18 00:33:07.766
Case001,G,Role 5,2020-08-18 00:33:07.766,2020-08-18 00:35:20.766
Case001,I,Role 5,2020-08-18 01:55:43.766,2020-08-18 01:59:27.766
Case001,J,Role 5,2020-08-18 02:23:14.766,2020-08-18 02:29:56.766
Case001,K,Role 5,2020-08-18 02:56:29.766,2020-08-18 02:56:59.766
Case001,N,Role 5,2020-08-18 03:13:19.766,2020-08-18 03:19:31.766
Case001,Y,Role 1,2020-08-18 03:19:31.766,2020-08-18 03:24:27.766
