caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2020-08-17 14:00:26.766,2020-08-17 14:00:26.766
Case000,A,Role 5,2020-08-17 14:01:05.766,2020-08-17 14:06:32.766
Case000,B,Role 5,2020-08-17 14:23:34.766,2020-08-17 14:27:06.766
Case000,E,Role 5,2020-08-17 14:54:21.766,2020-08-17 14:55:49.766
Case000,F,Role 5,2020-08-17 14:55:49.766,2020-08-17 14:56:57.766
Case000,C,Role 5,2020-08-17 14:56:57.766,2020-08-17 14:59:19.766
Case000,D,Role 5,2020-08-17 14:59:19.766,2020-08-17 15:04:07.766
Case000,H,Role 5,2020-08-17 15:04:07.766,2020-08-17 15:10:26.766
Case000,G,Role 5,2020-08-17 15:10:26.766,2020-08-17 15:13:03.766
Case000,I,Role 5,2020-08-17 16:44:45.766,2020-08-17 16:47:49.766
Case000,J,Role 5,2020-08-17 17:43:20.766,2020-08-17 17:51:28.766
Case000,K,Role 5,2020-08-17 19:06:04.766,2020-08-17 19:06:58.766
Case000,O,Role 5,2020-08-17 20:10:56.766,2020-08-17 20:18:40.766
Case000,BB,Role 3,2020-08-17 20:19:38.766,2020-08-17 20:25:16.766
Case000,N,Role 5,2020-08-17 20:25:23.766,2020-08-17 21:03:52.766
Case000,CC,Role 3,2020-08-17 21:03:52.766,2020-08-17 21:25:16.766
Case000,Y,Role 3,2020-08-17 21:25:16.766,2020-08-17 21:44:40.766
Case000,Z,Role 4,2020-08-17 21:44:40.766,2020-08-17 21:58:18.766
Case000,Z,Role 4,2020-08-17 21:58:18.766,2020-08-17 22:17:43.766
Case000,DD,Role 3,2020-08-17 22:20:12.766,2020-08-17 22:27:25.766
Case000,R,Role 2,2020-08-17 22:27:25.766,2020-08-18 00:07:35.766
Case000,S,Role 2,2020-08-18 00:07:35.766,2020-08-18 00:11:49.766
Case000,T,Role 2,2020-08-18 00:11:49.766,2020-08-18 00:17:04.766
Case000,I,end,2020-08-18 00:17:04.766,2020-08-18 00:17:38.766
Case000,J,Role 5,2020-08-18 00:17:38.766,2020-08-18 00:28:38.766
Case000,K,Role 5,2020-08-18 00:28:38.766,2020-08-18 00:30:45.766
Case000,M,Role 5,2020-08-18 00:30:45.766,2020-08-18 00:36:51.766
Case000,U,Role 1,2020-08-18 00:36:51.766,2020-08-18 00:41:27.766
Case000,V,Role 1,2020-08-18 00:41:27.766,2020-08-18 01:08:41.766
Case000,X,Role 1,2020-08-18 01:08:41.766,2020-08-18 01:13:31.766
Case000,R,Role 2,2020-08-18 01:14:02.766,2020-08-18 02:33:00.766
Case000,S,Role 2,2020-08-18 02:33:12.766,2020-08-18 02:35:53.766
Case000,T,Role 2,2020-08-18 02:36:06.766,2020-08-18 02:42:24.766
Case000,end,end,2020-08-18 02:42:24.766,2020-08-18 02:43:05.766
Case001,start,start,2020-08-18 02:42:24.766,2020-08-18 02:42:24.766
Case001,A,Role 5,2020-08-18 02:42:24.766,2020-08-18 02:48:42.766
Case001,B,Role 5,2020-08-18 02:56:39.766,2020-08-18 03:00:39.766
Case001,E,Role 5,2020-08-18 03:08:43.766,2020-08-18 03:10:36.766
