caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case3,W_Afhandelen leads,res_42a87900-9d1d-4fd1-a93f-0e3dd1fb7fa0,Role 1,2012-02-13 21:06:30,290,1,0.0,2012-02-13 21:03:39
Case1,W_Beoordelen fraude,res_bcb01bf1-274e-4267-8e20-72e7569eccc3,Role 6,2012-02-13 21:10:24,290,0,0.0,2012-02-13 21:07:32
Case2,W_Completeren aanvraag,res_a4a3dbdd-fcbe-4c60-8d60-18966e1d03af,Role 1,2012-02-13 21:22:37,291,1,0.0,2012-02-13 21:19:48
Case6,W_Beoordelen fraude,res_bcb01bf1-274e-4267-8e20-72e7569eccc3,Role 6,2012-02-13 21:46:20,292,0,0.0,2012-02-13 21:43:28
Case7,W_Beoordelen fraude,res_bcb01bf1-274e-4267-8e20-72e7569eccc3,Role 6,2012-02-13 21:51:18,293,0,0.0,2012-02-13 21:48:26
Case1,W_Afhandelen leads,res_665594f4-b8cd-43c3-ab8a-5d359c103391,Role 1,2012-02-13 22:13:41,293,1,0.0,2012-02-13 22:11:11
Case5,W_Completeren aanvraag,res_665594f4-b8cd-43c3-ab8a-5d359c103391,Role 1,2012-02-13 22:25:01,293,1,0.0,2012-02-13 22:22:12
Case4,W_Afhandelen leads,res_665594f4-b8cd-43c3-ab8a-5d359c103391,Role 1,2012-02-13 22:28:59,294,1,0.0,2012-02-13 22:26:08
Case2,W_Completeren aanvraag,res_114e7923-d2c8-486f-acd8-34938d7b5338,Role 1,2012-02-13 22:34:58,293,1,0.0,2012-02-13 22:32:24
Case10,W_Afhandelen leads,res_1c048b0e-4d39-4e31-89c1-23845d3b8dac,Role 1,2012-02-13 22:43:12,294,1,0.0,2012-02-13 22:40:21
Case6,W_Afhandelen leads,res_ff1180de-5ec9-4433-bb8a-7cbc221284bd,Role 1,2012-02-13 22:49:37,293,1,0.0,2012-02-13 22:47:08
Case7,W_Afhandelen leads,res_1912e2db-bb3c-4c24-a4e4-d62c1309b4c6,Role 1,2012-02-13 22:54:36,293,1,0.0,2012-02-13 22:52:07
Case9,W_Completeren aanvraag,res_1912e2db-bb3c-4c24-a4e4-d62c1309b4c6,Role 1,2012-02-13 22:56:22,294,1,0.030303030303030304,2012-02-13 22:53:33
Case8,W_Beoordelen fraude,res_bcb01bf1-274e-4267-8e20-72e7569eccc3,Role 6,2012-02-13 23:04:47,295,0,0.0,2012-02-13 23:01:55
Case5,W_Completeren aanvraag,res_d435b909-ac4f-4963-bc8f-6adbb14a9bcd,Role 1,2012-02-13 23:37:26,295,1,0.0,2012-02-13 23:34:53
Case8,W_Afhandelen leads,res_1912e2db-bb3c-4c24-a4e4-d62c1309b4c6,Role 1,2012-02-14 00:08:15,295,1,0.0,2012-02-14 00:05:37
Case9,W_Completeren aanvraag,res_1912e2db-bb3c-4c24-a4e4-d62c1309b4c6,Role 1,2012-02-14 00:08:52,295,1,0.030303030303030304,2012-02-14 00:06:17
Case6,W_Completeren aanvraag,res_1c048b0e-4d39-4e31-89c1-23845d3b8dac,Role 1,2012-02-14 00:21:05,295,1,0.0,2012-02-14 00:18:38
Case7,W_Completeren aanvraag,res_1c048b0e-4d39-4e31-89c1-23845d3b8dac,Role 1,2012-02-14 00:23:31,295,2,0.030303030303030304,2012-02-14 00:21:03
Case13,W_Completeren aanvraag,res_d75e4188-58cd-4d2a-9270-cd3bc209f8f0,Role 1,2012-02-14 00:44:06,296,1,0.0,2012-02-14 00:41:15
Case11,W_Completeren aanvraag,res_d75e4188-58cd-4d2a-9270-cd3bc209f8f0,Role 1,2012-02-14 00:45:33,297,2,0.030303030303030304,2012-02-14 00:42:44
Case12,W_Beoordelen fraude,res_2749d152-4ad8-4999-a2f1-e2a8a2a64123,Role 6,2012-02-14 01:22:43,298,0,0.0,2012-02-14 01:19:53
Case8,W_Completeren aanvraag,res_2749d152-4ad8-4999-a2f1-e2a8a2a64123,Role 1,2012-02-14 01:24:11,298,1,0.0,2012-02-14 01:21:41
Case5,W_Completeren aanvraag,res_0de5c10d-0686-4892-b44f-f3941cd8d00b,Role 1,2012-02-14 01:33:49,298,1,0.0,2012-02-14 01:31:23
Case14,W_Completeren aanvraag,res_d75e4188-58cd-4d2a-9270-cd3bc209f8f0,Role 1,2012-02-14 01:38:21,299,1,0.0,2012-02-14 01:35:31
Case16,W_Beoordelen fraude,res_bcb01bf1-274e-4267-8e20-72e7569eccc3,Role 6,2012-02-14 01:47:17,300,0,0.0,2012-02-14 01:44:27
Case12,W_Afhandelen leads,res_0b2a2aa2-c94b-4978-a1db-c9ddb5694b8b,Role 1,2012-02-14 02:00:01,300,1,0.0,2012-02-14 01:57:22
Case16,W_Afhandelen leads,res_ff1180de-5ec9-4433-bb8a-7cbc221284bd,Role 1,2012-02-14 02:24:36,299,1,0.0,2012-02-14 02:21:58
Case15,W_Afhandelen leads,res_ff1180de-5ec9-4433-bb8a-7cbc221284bd,Role 1,2012-02-14 02:24:50,300,2,0.030303030303030304,2012-02-14 02:22:00
Case14,W_Completeren aanvraag,res_dbfa1213-671c-44e1-b9cf-6f2bf4239888,Role 1,2012-02-14 02:36:45,298,1,0.0,2012-02-14 02:34:07
Case20,W_Afhandelen leads,res_dbfa1213-671c-44e1-b9cf-6f2bf4239888,Role 1,2012-02-14 02:38:39,299,1,0.030303030303030304,2012-02-14 02:35:47
Case19,W_Completeren aanvraag,res_4e807cae-ab56-4f13-90ae-69532952a3bc,Role 1,2012-02-14 02:44:08,300,1,0.0,2012-02-14 02:41:18
Case18,W_Completeren aanvraag,res_28238655-6530-4053-a7c7-f36116b71385,Role 1,2012-02-14 02:51:23,301,1,0.0,2012-02-14 02:48:33
Case17,W_Beoordelen fraude,res_bcb01bf1-274e-4267-8e20-72e7569eccc3,Role 6,2012-02-14 03:00:54,302,0,0.0,2012-02-14 02:58:04
Case20,W_Completeren aanvraag,res_0b2a2aa2-c94b-4978-a1db-c9ddb5694b8b,Role 1,2012-02-14 03:37:02,302,1,0.0,2012-02-14 03:34:25
Case17,W_Afhandelen leads,res_0b2a2aa2-c94b-4978-a1db-c9ddb5694b8b,Role 1,2012-02-14 03:38:14,302,1,0.030303030303030304,2012-02-14 03:35:36
Case19,W_Completeren aanvraag,res_42a87900-9d1d-4fd1-a93f-0e3dd1fb7fa0,Role 1,2012-02-14 03:42:34,301,1,0.0,2012-02-14 03:39:57
Case18,W_Completeren aanvraag,res_0de5c10d-0686-4892-b44f-f3941cd8d00b,Role 1,2012-02-14 03:49:51,301,1,0.0,2012-02-14 03:47:14
Case14,W_Completeren aanvraag,res_182ec740-b7de-4a24-b902-a817390e93a3,Role 1,2012-02-14 05:02:50,301,1,0.0,2012-02-14 05:00:22
Case21,W_Completeren aanvraag,res_3bbd6f8a-d4b3-4989-8746-15515b5045dc,Role 1,2012-02-14 06:31:25,302,1,0.0,2012-02-14 06:28:36
Case5,W_Completeren aanvraag,res_114e7923-d2c8-486f-acd8-34938d7b5338,Role 1,2012-02-14 06:56:33,302,1,0.0,2012-02-14 06:54:14
Case21,W_Completeren aanvraag,res_1912e2db-bb3c-4c24-a4e4-d62c1309b4c6,Role 1,2012-02-14 07:29:54,302,1,0.0,2012-02-14 07:27:19
Case13,W_Nabellen offertes,res_2402552c-e451-42fc-86c8-ab6ebb28fc6d,Role 1,2012-02-14 07:50:21,302,0,0.0,2012-02-14 07:47:48
Case23,W_Beoordelen fraude,res_696f239c-4bb6-424a-a0a7-c73c93c70001,Role 6,2012-02-14 08:42:51,303,0,0.0,2012-02-14 08:40:00
Case24,W_Afhandelen leads,res_696f239c-4bb6-424a-a0a7-c73c93c70001,Role 1,2012-02-14 08:45:10,304,1,0.0,2012-02-14 08:42:20
