caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case6,W_Completeren aanvraag,res_225d5789-f9a3-4a52-a2cb-80af823f4ebc,Role 1,2012-02-13 21:05:13,290,1,0.0,2012-02-13 21:02:24
Case3,W_Beoordelen fraude,res_cbda4693-0e9d-4886-a6f4-eed36afd35a9,Role 6,2012-02-13 21:11:28,291,0,0.0,2012-02-13 21:08:36
Case2,W_Afhandelen leads,res_aa8cb99f-1a43-4906-ab78-124d7143a206,Role 1,2012-02-13 21:20:49,292,1,0.0,2012-02-13 21:17:58
Case4,W_Completeren aanvraag,res_6a66a6f2-3017-4dd9-9cb9-f7831094bce4,Role 1,2012-02-13 21:24:29,293,1,0.0,2012-02-13 21:21:40
Case1,W_Completeren aanvraag,res_6a66a6f2-3017-4dd9-9cb9-f7831094bce4,Role 1,2012-02-13 21:25:17,294,2,0.030303030303030304,2012-02-13 21:22:29
Case5,W_Afhandelen leads,res_d28a3dce-faae-43af-9cca-0368e0dc1778,Role 1,2012-02-13 21:32:50,295,1,0.0,2012-02-13 21:29:59
Case8,W_Completeren aanvraag,res_fd4fe4fc-3fa3-493b-bf2d-c344478c1c91,Role 1,2012-02-13 22:01:04,295,1,0.0,2012-02-13 21:58:15
Case11,W_Completeren aanvraag,res_79a8660d-afa3-483b-bd98-ee5a079d1248,Role 1,2012-02-13 22:04:14,296,1,0.0,2012-02-13 22:01:25
Case10,W_Completeren aanvraag,res_e8635e28-d96f-4b40-a987-19e2a298fed6,Role 1,2012-02-13 22:13:13,297,1,0.0,2012-02-13 22:10:24
Case3,W_Afhandelen leads,res_e8635e28-d96f-4b40-a987-19e2a298fed6,Role 1,2012-02-13 22:14:46,297,1,0.030303030303030304,2012-02-13 22:12:16
Case7,W_Afhandelen leads,res_0eef4188-6009-46b2-81cb-0fccd6e5611f,Role 1,2012-02-13 22:15:17,298,2,0.06060606060606061,2012-02-13 22:12:27
Case4,W_Nabellen offertes,res_0eef4188-6009-46b2-81cb-0fccd6e5611f,Role 1,2012-02-13 22:17:32,297,0,0.06060606060606061,2012-02-13 22:15:06
Case6,W_Completeren aanvraag,res_0eef4188-6009-46b2-81cb-0fccd6e5611f,Role 1,2012-02-13 22:17:32,297,1,0.030303030303030304,2012-02-13 22:14:58
Case2,W_Completeren aanvraag,res_3d19f308-4a68-414e-974f-66b3df04355c,Role 1,2012-02-13 22:33:14,296,1,0.0,2012-02-13 22:30:39
Case9,W_Afhandelen leads,res_3d19f308-4a68-414e-974f-66b3df04355c,Role 1,2012-02-13 22:35:03,297,1,0.030303030303030304,2012-02-13 22:32:12
Case10,W_Nabellen offertes,res_dec915ee-c10b-4b62-a6c7-96663a906501,Role 1,2012-02-13 22:55:45,296,0,0.0,2012-02-13 22:53:18
Case15,W_Afhandelen leads,res_76fa8786-bc6d-4336-942e-43d7a51b31cd,Role 1,2012-02-13 23:03:21,297,1,0.0,2012-02-13 23:00:30
Case13,W_Completeren aanvraag,res_225d5789-f9a3-4a52-a2cb-80af823f4ebc,Role 1,2012-02-13 23:05:30,298,1,0.030303030303030304,2012-02-13 23:02:41
Case14,W_Afhandelen leads,res_225d5789-f9a3-4a52-a2cb-80af823f4ebc,Role 1,2012-02-13 23:07:56,299,1,0.030303030303030304,2012-02-13 23:05:05
Case12,W_Afhandelen leads,res_6a66a6f2-3017-4dd9-9cb9-f7831094bce4,Role 1,2012-02-13 23:14:48,299,1,0.0,2012-02-13 23:11:58
Case11,W_Completeren aanvraag,res_6a66a6f2-3017-4dd9-9cb9-f7831094bce4,Role 1,2012-02-13 23:16:46,299,1,0.030303030303030304,2012-02-13 23:14:13
Case13,W_Nabellen offertes,res_62440032-17d6-47cd-ab5a-db8ea5da739a,Role 1,2012-02-13 23:58:59,298,0,0.0,2012-02-13 23:56:34
Case1,W_Nabellen offertes,res_7addadfd-f1ac-4d5b-a75b-b24263db1a8f,Role 1,2012-02-14 00:08:47,298,0,0.0,2012-02-14 00:06:16
Case16,W_Afhandelen leads,res_1e2a984b-9537-4cea-8464-52a7d7e21288,Role 1,2012-02-14 00:14:44,299,1,0.0,2012-02-14 00:11:52
