caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case1,Traer informacion estudiante - banner,res_b7d083cb-ddeb-4f69-a014-0177d590cc99,Role 1,2016-05-18 22:45:07,43,0,2016-05-18 22:44:49
Case2,Traer informacion estudiante - banner,res_708644c3-34c4-451a-b19b-fd7d3d6f46d6,Role 1,2016-05-19 00:20:02,44,0,2016-05-19 00:19:33
Case1,Radicar Solicitud Homologacion,res_8a9832b3-2bb6-44a8-bebc-ff9d5fcdc947,Role 1,2016-05-19 01:04:41,44,0,2016-05-19 00:59:55
Case3,Traer informacion estudiante - banner,res_302b55f0-b7b0-427f-ab63-db7fd44858a4,Role 1,2016-05-19 01:43:27,45,0,2016-05-19 01:43:00
Case4,Traer informacion estudiante - banner,res_9a29a570-1494-4ae5-95ea-a5c3d2845ad1,Role 1,2016-05-19 02:27:15,46,0,2016-05-19 02:26:48
Case5,Traer informacion estudiante - banner,res_178890d9-5b18-439a-9a8f-7f3e9584bcae,Role 1,2016-05-19 03:44:41,47,0,2016-05-19 03:44:15
Case6,Traer informacion estudiante - banner,res_96a5f91a-6eb8-436b-bd6e-6e563fc6271c,Role 1,2016-05-19 04:11:14,48,0,2016-05-19 04:10:48
Case1,Cancelar Solicitud,res_bbe2983c-1492-435f-bbb1-261f25934915,Role 2,2016-05-19 06:33:08,48,0,2016-05-19 06:31:00
Case2,Radicar Solicitud Homologacion,res_9b05b74b-14f5-4ea9-bbb8-b2d2ca8d193a,Role 1,2016-05-19 08:04:18,48,0,2016-05-19 07:55:16
Case3,Radicar Solicitud Homologacion,res_e0ec7b2e-2db1-47d7-8ec4-b95ae899cf72,Role 1,2016-05-19 09:22:13,48,0,2016-05-19 09:13:29
Case4,Radicar Solicitud Homologacion,res_5e344600-1dde-40ce-b249-599213739b7c,Role 1,2016-05-19 10:00:46,48,0,2016-05-19 09:52:08
Case5,Radicar Solicitud Homologacion,res_86aa171e-2d72-46d9-9c02-62f826beb676,Role 1,2016-05-19 11:12:51,48,0,2016-05-19 11:04:27
Case6,Radicar Solicitud Homologacion,res_5ddd566b-d7cd-4d2e-82d5-1bf0e1fc0804,Role 1,2016-05-19 11:34:19,48,0,2016-05-19 11:25:56
Case7,Traer informacion estudiante - banner,res_eb09d101-46ef-41e7-ab9f-742df3814a6b,Role 1,2016-05-19 12:22:10,49,0,2016-05-19 12:21:49
