caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case1,Create Purchase Requisition,res_9dae8ce5-f7f8-4fcb-96c9-92b6b3468792,Role 1,2011-06-20 19:15:44,41,0,0.0,2011-06-20 19:07:34
Case2,Create Purchase Requisition,res_a834e8b5-c165-4b9b-b504-db279511e18e,Role 1,2011-06-20 21:18:54,42,0,0.0,2011-06-20 21:10:50
Case3,Create Purchase Requisition,res_ec34d641-3f4c-4890-85bd-83e4738c583f,Role 1,2011-06-20 23:39:19,43,0,0.0,2011-06-20 23:31:21
Case4,Analyze Purchase Requisition,res_4ded77d3-9f8f-4634-8862-cbb09d2a5fb6,Role 3,2011-06-21 01:11:38,44,0,0.0,2011-06-21 01:08:13
Case4,Amend Purchase Requisition,res_ec34d641-3f4c-4890-85bd-83e4738c583f,Role 1,2011-06-21 02:03:13,44,0,0.0,2011-06-21 01:43:53
Case5,Create Purchase Requisition,res_a834e8b5-c165-4b9b-b504-db279511e18e,Role 1,2011-06-21 03:00:25,45,0,0.0,2011-06-21 02:51:16
Case6,Create Purchase Requisition,res_a834e8b5-c165-4b9b-b504-db279511e18e,Role 1,2011-06-21 08:45:42,46,0,0.0,2011-06-21 08:36:42
Case7,Create Purchase Requisition,res_c2300afc-6f90-4f2b-bba6-2ea4465117f9,Role 1,2011-06-21 09:35:28,47,0,0.0,2011-06-21 09:26:29
Case7,Create Purchase Requisition,res_9dae8ce5-f7f8-4fcb-96c9-92b6b3468792,Role 1,2011-06-21 10:51:14,47,0,0.0,2011-06-21 10:10:37
Case8,Analyze Purchase Requisition,res_82dde2ff-8310-4a39-ad14-fc1aea4df510,Role 3,2011-06-21 11:03:05,48,0,0.0,2011-06-21 11:01:06
Case7,Create Purchase Requisition,res_a13bdd95-e22a-4a1c-88d2-1fb579903d5d,Role 1,2011-06-21 12:37:09,48,0,0.0,2011-06-21 12:02:19
Case8,Create Request for Quotation,res_4ded77d3-9f8f-4634-8862-cbb09d2a5fb6,Role 3,2011-06-21 13:51:05,48,0,0.0,2011-06-21 13:34:31
Case9,Create Purchase Requisition,res_4ded77d3-9f8f-4634-8862-cbb09d2a5fb6,Role 1,2011-06-21 14:14:27,49,0,0.0,2011-06-21 14:05:34
Case1,Analyze Purchase Requisition,res_4ded77d3-9f8f-4634-8862-cbb09d2a5fb6,Role 3,2011-06-21 14:14:44,49,0,0.0,2011-06-21 14:09:55
Case7,Create Purchase Requisition,res_5a833d14-d281-4dcf-b116-11dbb86905bc,Role 1,2011-06-21 14:45:20,49,0,0.0,2011-06-21 14:21:41
Case1,Amend Purchase Requisition,res_789b2d80-43fb-4023-bbc5-e2af7a997ac6,Role 1,2011-06-21 15:13:15,49,0,0.07142857142857142,2011-06-21 14:55:19
Case10,Create Purchase Requisition,res_789b2d80-43fb-4023-bbc5-e2af7a997ac6,Role 1,2011-06-21 15:17:09,50,1,0.14285714285714285,2011-06-21 15:08:28
Case9,Create Purchase Requisition,res_789b2d80-43fb-4023-bbc5-e2af7a997ac6,Role 1,2011-06-21 15:31:41,49,0,0.0,2011-06-21 14:50:19
Case10,Create Purchase Requisition,res_82dde2ff-8310-4a39-ad14-fc1aea4df510,Role 1,2011-06-21 16:16:17,50,0,0.0,2011-06-21 15:47:04
Case2,Analyze Purchase Requisition,res_82dde2ff-8310-4a39-ad14-fc1aea4df510,Role 3,2011-06-21 16:18:35,50,0,0.0,2011-06-21 16:13:48
Case2,Create Request for Quotation,res_af1425ca-1d0c-4965-8021-568b5b05a80e,Role 3,2011-06-21 16:48:43,50,0,0.0,2011-06-21 16:28:43
Case10,Create Purchase Requisition,res_af1425ca-1d0c-4965-8021-568b5b05a80e,Role 1,2011-06-21 18:37:11,50,0,0.0,2011-06-21 17:29:14
Case3,Analyze Purchase Requisition,res_af1425ca-1d0c-4965-8021-568b5b05a80e,Role 3,2011-06-21 18:39:42,50,0,0.0,2011-06-21 18:34:55
Case3,Amend Purchase Requisition,res_7f3c2328-6e6a-4468-97ef-e0e0fd14a30a,Role 1,2011-06-21 19:40:48,50,0,0.0,2011-06-21 19:22:59
Case11,Analyze Purchase Requisition,res_af1425ca-1d0c-4965-8021-568b5b05a80e,Role 3,2011-06-21 20:32:43,51,0,0.0,2011-06-21 20:31:51
Case10,Create Purchase Requisition,res_af1425ca-1d0c-4965-8021-568b5b05a80e,Role 1,2011-06-21 20:46:14,50,0,0.0,2011-06-21 20:22:09
Case12,Analyze Purchase Requisition,res_4ded77d3-9f8f-4634-8862-cbb09d2a5fb6,Role 3,2011-06-21 21:06:38,52,0,0.0,2011-06-21 21:05:50
Case4,Analyze Purchase Requisition,res_82dde2ff-8310-4a39-ad14-fc1aea4df510,Role 3,2011-06-21 21:29:26,52,0,0.0,2011-06-21 21:24:53
Case13,Analyze Purchase Requisition,res_82dde2ff-8310-4a39-ad14-fc1aea4df510,Role 3,2011-06-21 22:05:25,53,0,0.0,2011-06-21 22:04:44
