caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case1,Create Purchase Requisition,res_6daf318b-61e4-40e4-a302-edfc479145a3,Role 1,2011-06-20 23:33:39,41,0,0.0,2011-06-20 23:25:40
Case1,Create Purchase Requisition,res_0cae081d-73c2-4d7f-a5c9-afd9bbd328fa,Role 1,2011-06-20 23:58:30,41,0,0.0,2011-06-20 23:41:42
Case2,Analyze Purchase Requisition,res_0cae081d-73c2-4d7f-a5c9-afd9bbd328fa,Role 3,2011-06-21 00:00:57,42,0,0.0,2011-06-20 23:58:13
Case2,Amend Purchase Requisition,res_69dafff5-5eea-49c4-8207-cd11bf2e80e4,Role 1,2011-06-21 00:50:40,42,0,0.0,2011-06-21 00:31:41
Case3,Create Purchase Requisition,res_c556aede-81e0-416d-9c07-4b8a46ceaa70,Role 1,2011-06-21 01:14:33,43,0,0.0,2011-06-21 01:05:19
Case4,Create Purchase Requisition,res_69dafff5-5eea-49c4-8207-cd11bf2e80e4,Role 1,2011-06-21 01:58:43,44,1,0.07142857142857142,2011-06-21 01:49:44
Case3,Create Purchase Requisition,res_80273f54-0544-4c5d-af32-5f59e779d0a4,Role 1,2011-06-21 02:27:11,43,0,0.0,2011-06-21 01:48:16
Case4,Create Purchase Requisition,res_80273f54-0544-4c5d-af32-5f59e779d0a4,Role 1,2011-06-21 02:43:14,44,1,0.07142857142857142,2011-06-21 02:26:15
Case5,Create Purchase Requisition,res_36872623-6807-42a4-8c2a-78c613ffd1e2,Role 1,2011-06-21 03:42:14,45,0,0.0,2011-06-21 03:33:06
Case6,Create Purchase Requisition,res_69dafff5-5eea-49c4-8207-cd11bf2e80e4,Role 1,2011-06-21 04:00:07,46,2,0.14285714285714285,2011-06-21 03:51:14
Case4,Create Purchase Requisition,res_69dafff5-5eea-49c4-8207-cd11bf2e80e4,Role 1,2011-06-21 04:05:38,45,1,0.07142857142857142,2011-06-21 03:43:50
Case3,Create Purchase Requisition,res_69dafff5-5eea-49c4-8207-cd11bf2e80e4,Role 1,2011-06-21 04:11:55,45,0,0.0,2011-06-21 03:43:17
Case5,Create Purchase Requisition,res_aa1a21f5-065a-4e84-8ba3-3da3123f906c,Role 1,2011-06-21 04:55:49,46,0,0.0,2011-06-21 04:16:40
Case3,Create Purchase Requisition,res_80273f54-0544-4c5d-af32-5f59e779d0a4,Role 1,2011-06-21 06:07:04,46,0,0.0,2011-06-21 05:44:09
Case4,Create Purchase Requisition,res_80273f54-0544-4c5d-af32-5f59e779d0a4,Role 1,2011-06-21 06:17:53,46,1,0.07142857142857142,2011-06-21 05:55:34
Case7,Analyze Purchase Requisition,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-21 08:15:03,47,0,0.0,2011-06-21 08:12:42
Case4,Create Purchase Requisition,res_477f3080-2528-402e-9d13-608cdcaf8807,Role 1,2011-06-21 08:59:53,47,0,0.0,2011-06-21 08:35:04
Case8,Analyze Purchase Requisition,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-21 09:53:31,48,0,0.0,2011-06-21 09:51:24
Case7,Create Request for Quotation,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-21 11:02:07,48,0,0.0,2011-06-21 10:45:39
Case9,Create Purchase Requisition,res_c3915fb3-6b8e-40be-b746-7f8cee1734bc,Role 1,2011-06-21 11:38:38,49,0,0.0,2011-06-21 11:29:42
Case4,Create Purchase Requisition,res_69dafff5-5eea-49c4-8207-cd11bf2e80e4,Role 1,2011-06-21 12:13:13,49,0,0.0,2011-06-21 11:47:44
Case8,Create Request for Quotation,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-21 12:41:28,49,0,0.0,2011-06-21 12:24:57
Case10,Create Purchase Requisition,res_6daf318b-61e4-40e4-a302-edfc479145a3,Role 1,2011-06-21 15:41:03,50,0,0.0,2011-06-21 15:32:11
Case4,Create Purchase Requisition,res_25a90161-00d9-405c-867f-5331e27d6e59,Role 1,2011-06-21 16:31:47,50,0,0.0,2011-06-21 16:07:40
Case11,Create Purchase Requisition,res_6daf318b-61e4-40e4-a302-edfc479145a3,Role 1,2011-06-21 19:37:06,51,0,0.0,2011-06-21 19:28:17
Case12,Analyze Purchase Requisition,res_0cae081d-73c2-4d7f-a5c9-afd9bbd328fa,Role 3,2011-06-21 20:08:53,52,0,0.0,2011-06-21 20:08:00
Case2,Analyze Purchase Requisition,res_80273f54-0544-4c5d-af32-5f59e779d0a4,Role 3,2011-06-21 20:14:13,52,0,0.0,2011-06-21 20:10:46
Case2,Create Request for Quotation,res_d52930b2-e43f-434a-8f53-8fca679f843c,Role 3,2011-06-21 20:47:49,52,0,0.0,2011-06-21 20:28:04
Case11,Create Purchase Requisition,res_d52930b2-e43f-434a-8f53-8fca679f843c,Role 1,2011-06-21 20:55:30,52,0,0.0,2011-06-21 20:13:39
Case12,Amend Purchase Requisition,res_d52930b2-e43f-434a-8f53-8fca679f843c,Role 1,2011-06-21 21:03:31,52,0,0.07142857142857142,2011-06-21 20:47:47
Case1,Analyze Purchase Requisition,res_0cae081d-73c2-4d7f-a5c9-afd9bbd328fa,Role 3,2011-06-21 21:37:49,52,0,0.0,2011-06-21 21:29:25
Case13,Create Purchase Requisition,res_477f3080-2528-402e-9d13-608cdcaf8807,Role 1,2011-06-21 21:50:29,53,0,0.0,2011-06-21 21:41:41
Case14,Analyze Purchase Requisition,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-21 22:16:53,54,0,0.0,2011-06-21 22:16:14
Case6,Analyze Purchase Requisition,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-21 23:19:03,54,0,0.0,2011-06-21 23:13:35
Case6,Create Request for Quotation,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-21 23:52:16,54,0,0.0,2011-06-21 23:29:25
Case1,Amend Purchase Requisition,res_aa1a21f5-065a-4e84-8ba3-3da3123f906c,Role 1,2011-06-22 00:17:22,54,0,0.0,2011-06-21 23:59:45
Case15,Create Purchase Requisition,res_36872623-6807-42a4-8c2a-78c613ffd1e2,Role 1,2011-06-22 00:41:43,55,0,0.0,2011-06-22 00:32:35
Case14,Create Request for Quotation,res_6daf318b-61e4-40e4-a302-edfc479145a3,Role 3,2011-06-22 01:11:13,55,0,0.0,2011-06-22 00:53:20
Case16,Create Purchase Requisition,res_6daf318b-61e4-40e4-a302-edfc479145a3,Role 1,2011-06-22 01:14:16,56,0,0.0,2011-06-22 01:05:10
Case15,Create Purchase Requisition,res_aa1a21f5-065a-4e84-8ba3-3da3123f906c,Role 1,2011-06-22 02:24:02,56,0,0.0,2011-06-22 01:52:30
Case16,Create Purchase Requisition,res_80273f54-0544-4c5d-af32-5f59e779d0a4,Role 1,2011-06-22 02:57:51,56,0,0.0,2011-06-22 02:26:10
Case17,Create Purchase Requisition,res_c3915fb3-6b8e-40be-b746-7f8cee1734bc,Role 1,2011-06-22 03:18:42,57,0,0.0,2011-06-22 03:09:42
Case18,Create Purchase Requisition,res_1c72fc87-7934-49e4-851c-1ddb7d57e7d9,Role 1,2011-06-22 04:41:19,58,0,0.0,2011-06-22 04:32:23
Case5,Analyze Purchase Requisition,res_a67ba552-64f4-497b-9673-294d5e88dfbe,Role 3,2011-06-22 05:56:57,58,0,0.0,2011-06-22 05:47:01
Case9,Analyze Purchase Requisition,res_0cae081d-73c2-4d7f-a5c9-afd9bbd328fa,Role 3,2011-06-22 06:53:54,58,0,0.0,2011-06-22 06:48:40
Case9,Create Request for Quotation,res_a67ba552-64f4-497b-9673-294d5e88dfbe,Role 3,2011-06-22 07:25:26,58,0,0.0,2011-06-22 07:04:25
Case19,Create Purchase Requisition,res_36872623-6807-42a4-8c2a-78c613ffd1e2,Role 1,2011-06-22 07:39:47,59,0,0.0,2011-06-22 07:30:57
Case20,Create Purchase Requisition,res_1c72fc87-7934-49e4-851c-1ddb7d57e7d9,Role 1,2011-06-22 09:32:04,60,0,0.0,2011-06-22 09:23:18
Case21,Create Purchase Requisition,res_1c72fc87-7934-49e4-851c-1ddb7d57e7d9,Role 1,2011-06-22 10:08:54,61,0,0.0,2011-06-22 10:00:09
Case10,Analyze Purchase Requisition,res_a6cb4cea-7d50-4ef2-92fd-3145c23e4ba3,Role 3,2011-06-22 10:56:27,61,0,0.0,2011-06-22 10:51:20
Case22,Analyze Purchase Requisition,res_0cae081d-73c2-4d7f-a5c9-afd9bbd328fa,Role 3,2011-06-22 11:28:13,62,0,0.3333333333333333,2011-06-22 11:26:07
