caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,rp_start_oc,start:timestamp
Case6,W_Completeren aanvraag,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 1,2012-02-13 20:51:39,290,1,0.0,2012-02-13 20:48:50
Case7,W_Beoordelen fraude,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 6,2012-02-13 20:52:00,291,0,0.0,2012-02-13 20:49:08
Case5,W_Afhandelen leads,res_c7dd9fe6-78c4-4ace-8643-4396f751d9e5,Role 1,2012-02-13 20:57:40,292,1,0.0,2012-02-13 20:54:49
Case4,W_Completeren aanvraag,res_b641088d-0f3d-4516-ba1c-f99a0b69d2f0,Role 1,2012-02-13 21:01:24,292,1,0.0,2012-02-13 20:58:35
Case3,W_Beoordelen fraude,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 6,2012-02-13 21:08:16,293,0,0.0,2012-02-13 21:05:24
Case2,W_Beoordelen fraude,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 6,2012-02-13 21:09:31,294,1,1.0,2012-02-13 21:06:44
Case1,W_Completeren aanvraag,res_cfb75d3e-4300-4ddc-9dd3-4439afda4430,Role 1,2012-02-13 21:14:50,295,1,0.0,2012-02-13 21:12:01
Case3,W_Afhandelen leads,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 1,2012-02-13 21:46:04,295,1,0.0,2012-02-13 21:43:34
Case10,W_Beoordelen fraude,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 6,2012-02-13 21:47:05,296,0,0.0,2012-02-13 21:44:13
Case7,W_Afhandelen leads,res_134b9e85-6e13-4b66-a9e6-34b522e87d64,Role 1,2012-02-13 21:55:18,296,1,0.0,2012-02-13 21:52:48
Case6,W_Completeren aanvraag,res_971ee7f2-db36-4aa7-b8c8-a795bb27de03,Role 1,2012-02-13 22:04:00,296,1,0.0,2012-02-13 22:01:26
Case2,W_Afhandelen leads,res_0104e557-0444-477b-aca4-ec2319e16bab,Role 1,2012-02-13 22:12:39,297,1,0.030303030303030304,2012-02-13 22:10:20
Case11,W_Completeren aanvraag,res_0104e557-0444-477b-aca4-ec2319e16bab,Role 1,2012-02-13 22:12:40,297,1,0.0,2012-02-13 22:09:51
Case8,W_Completeren aanvraag,res_7c3cf17f-26ad-457e-bf3d-e1cf21c3f26d,Role 1,2012-02-13 22:16:24,297,1,0.0,2012-02-13 22:13:35
Case1,W_Completeren aanvraag,res_85667208-96c5-41f8-ad5e-12805b8e006d,Role 1,2012-02-13 22:27:21,297,1,0.0,2012-02-13 22:24:47
Case9,W_Afhandelen leads,res_134b9e85-6e13-4b66-a9e6-34b522e87d64,Role 1,2012-02-13 22:33:32,298,1,0.0,2012-02-13 22:30:41
Case12,W_Beoordelen fraude,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 6,2012-02-13 22:46:06,299,0,0.0,2012-02-13 22:43:14
Case10,W_Afhandelen leads,res_2db94b56-7f94-45b8-a4a5-8dd1afa61403,Role 1,2012-02-13 22:50:24,299,1,0.0,2012-02-13 22:47:55
Case13,W_Beoordelen fraude,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 6,2012-02-13 23:09:11,299,0,0.0,2012-02-13 23:06:19
Case11,W_Completeren aanvraag,res_58ebc741-ca46-482c-a2d0-1448c72979bd,Role 1,2012-02-13 23:25:12,299,1,0.0,2012-02-13 23:22:39
Case7,W_Completeren aanvraag,res_58ebc741-ca46-482c-a2d0-1448c72979bd,Role 1,2012-02-13 23:26:46,299,2,0.030303030303030304,2012-02-13 23:24:24
Case14,W_Beoordelen fraude,res_a82c2d3f-1c54-4e6b-aec2-f7da7e579b8a,Role 6,2012-02-13 23:40:43,300,0,0.0,2012-02-13 23:37:51
Case4,W_Nabellen offertes,res_2db94b56-7f94-45b8-a4a5-8dd1afa61403,Role 1,2012-02-13 23:43:38,300,0,0.0,2012-02-13 23:41:11
Case9,W_Completeren aanvraag,res_2db94b56-7f94-45b8-a4a5-8dd1afa61403,Role 1,2012-02-13 23:46:10,300,1,0.030303030303030304,2012-02-13 23:43:36
Case12,W_Afhandelen leads,res_92cd2fe1-af83-44e2-9e90-bb08946bc8a5,Role 1,2012-02-13 23:49:26,300,1,0.0,2012-02-13 23:46:58
Case13,W_Afhandelen leads,res_92cd2fe1-af83-44e2-9e90-bb08946bc8a5,Role 1,2012-02-14 00:12:41,300,1,0.0,2012-02-14 00:10:03
