caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case1,Turning & Milling,res_aac7029e-5fc7-44ff-978c-a5cc6f996911,Role 1,2012-03-13 05:28:57,12,1,2012-03-13 02:11:25
Case2,Rework Milling,res_f05902df-b93c-4807-ac97-659967dce900,Role 1,2012-03-13 07:03:14,13,0,2012-03-13 03:34:15
Case3,Turning & Milling,res_4aa10693-39e5-4c46-89ed-c383fa49447b,Role 1,2012-03-13 07:32:59,14,2,2012-03-13 04:12:26
Case1,Laser Marking,res_b110dec3-fef6-4ae4-b1c1-7496cb1fc635,Role 4,2012-03-13 07:45:12,15,0,2012-03-13 05:28:59
Case4,Turning & Milling,res_b110dec3-fef6-4ae4-b1c1-7496cb1fc635,Role 1,2012-03-13 08:19:13,15,3,2012-03-13 05:00:06
Case2,Change Version,res_bfde47f6-5740-4a2a-8c3c-e6d8d4e1cb71,Role 1,2012-03-13 09:54:54,16,0,2012-03-13 07:03:16
Case3,Laser Marking,res_bfde47f6-5740-4a2a-8c3c-e6d8d4e1cb71,Role 4,2012-03-13 10:24:51,17,1,2012-03-13 07:33:01
Case5,Rework Milling,res_5600c244-f64b-4e82-bd35-e4443755eb61,Role 1,2012-03-13 10:54:09,16,1,2012-03-13 06:55:56
Case4,Turning & Milling,res_f05902df-b93c-4807-ac97-659967dce900,Role 1,2012-03-13 10:57:28,17,2,2012-03-13 08:19:15
Case6,Turning & Milling,res_f05902df-b93c-4807-ac97-659967dce900,Role 1,2012-03-13 11:00:02,17,3,2012-03-13 07:10:55
Case7,Rework Milling,res_f05902df-b93c-4807-ac97-659967dce900,Role 1,2012-03-13 13:00:26,18,1,2012-03-13 08:54:40
Case4,Turning,res_f05902df-b93c-4807-ac97-659967dce900,Role 1,2012-03-13 13:18:03,19,0,2012-03-13 11:11:51
Case6,Milling,res_b110dec3-fef6-4ae4-b1c1-7496cb1fc635,Role 1,2012-03-13 13:52:32,19,0,2012-03-13 11:00:04
Case5,Change Version,res_b110dec3-fef6-4ae4-b1c1-7496cb1fc635,Role 1,2012-03-13 13:59:28,19,0,2012-03-13 10:54:11
Case8,Turning & Milling,res_f29c204c-0f81-44e9-b0dc-4978d263b5f4,Role 1,2012-03-13 14:12:17,19,3,2012-03-13 10:41:51
Case9,Turning,res_f29c204c-0f81-44e9-b0dc-4978d263b5f4,Role 1,2012-03-13 15:09:46,20,1,2012-03-13 11:21:19
Case3,Lapping,res_5600c244-f64b-4e82-bd35-e4443755eb61,Role 4,2012-03-13 15:45:59,21,0,2012-03-13 13:18:14
Case1,Lapping,res_5600c244-f64b-4e82-bd35-e4443755eb61,Role 4,2012-03-13 16:02:10,22,1,2012-03-13 13:40:50
Case7,Milling Q.C.,res_e8b4d0c7-b83b-4b1e-a29f-ac5ac3e62d92,Role 1,2012-03-13 16:15:49,21,0,2012-03-13 13:00:28
Case10,Turning & Milling,res_e8b4d0c7-b83b-4b1e-a29f-ac5ac3e62d92,Role 1,2012-03-13 16:32:45,21,2,2012-03-13 12:44:58
Case11,Turning & Milling,res_bfde47f6-5740-4a2a-8c3c-e6d8d4e1cb71,Role 1,2012-03-13 17:41:06,22,3,2012-03-13 13:37:23
Case12,Rework Milling,res_7371fae2-aaad-4851-a292-c368fec857f4,Role 1,2012-03-13 18:54:48,23,0,2012-03-13 14:04:10
Case8,Laser Marking,res_7371fae2-aaad-4851-a292-c368fec857f4,Role 4,2012-03-13 18:59:34,23,0,2012-03-13 15:21:32
Case9,Turning Q.C.,res_7371fae2-aaad-4851-a292-c368fec857f4,Role 1,2012-03-13 19:11:18,23,0,2012-03-13 15:24:22
Case2,Final Inspection Q.C.,res_7371fae2-aaad-4851-a292-c368fec857f4,Role 3,2012-03-13 19:38:33,25,0,2012-03-13 16:48:17
Case10,Turning & Milling Q.C.,res_5600c244-f64b-4e82-bd35-e4443755eb61,Role 3,2012-03-13 19:45:54,25,0,2012-03-13 16:32:47
Case13,Rework Milling,res_4aa10693-39e5-4c46-89ed-c383fa49447b,Role 1,2012-03-13 20:22:59,24,1,2012-03-13 15:39:19
Case14,Rework Milling,res_f19b9b65-3b52-47c9-91ff-967086101af2,Role 1,2012-03-13 20:29:56,25,2,2012-03-13 16:15:18
Case4,Turning Q.C.,res_7371fae2-aaad-4851-a292-c368fec857f4,Role 1,2012-03-13 20:47:37,26,1,2012-03-13 18:32:15
Case11,Laser Marking,res_7371fae2-aaad-4851-a292-c368fec857f4,Role 4,2012-03-13 21:10:38,26,1,2012-03-13 17:41:08
Case15,Rework Milling,res_7371fae2-aaad-4851-a292-c368fec857f4,Role 1,2012-03-13 21:17:30,26,3,2012-03-13 17:13:43
Case16,Turning & Milling,res_3aa57992-66af-4578-96b1-f1e4b7f11074,Role 1,2012-03-13 23:17:04,27,1,2012-03-13 18:38:24
Case17,Turning & Milling,res_5600c244-f64b-4e82-bd35-e4443755eb61,Role 1,2012-03-13 23:57:06,28,2,2012-03-13 19:39:13
Case13,Turning & Milling,res_2ff7e0bc-6e5a-4c59-ab92-69e9185e0553,Role 1,2012-03-14 00:15:34,29,3,2012-03-13 20:23:01
Case14,Turning,res_2ff7e0bc-6e5a-4c59-ab92-69e9185e0553,Role 1,2012-03-14 00:24:16,29,0,2012-03-13 20:29:58
Case18,Rework Milling,res_31f67b69-5e50-44e0-beef-dc9b81cfa5a9,Role 1,2012-03-14 00:31:27,29,3,2012-03-13 20:19:33
Case15,Change Version,res_f19b9b65-3b52-47c9-91ff-967086101af2,Role 1,2012-03-14 00:34:45,29,0,2012-03-13 21:17:32
Case19,Turning & Milling,res_643dd04c-f72b-4825-97bb-861207dc09eb,Role 1,2012-03-14 01:42:33,30,4,2012-03-13 21:54:36
Case7,Packing,res_6e28aace-64b9-41f9-b466-491685bd76e0,Role 5,2012-03-14 01:44:51,31,0,2012-03-13 23:07:49
