caseid,task,resource,role,time:timestamp,pr_instances,tsk_start_inst,start:timestamp
Case2,W_Handle leads,res_3745d97e-be8e-4a05-9bdf-69bb5d4e638c,Role 1,2016-10-24 09:09:00,1030,0,2016-10-24 09:08:51
Case1,W_Complete application,res_1f9ec30e-8fa6-4683-9aaa-5724fb8b23d2,Role 1,2016-10-24 09:11:20,1031,1,2016-10-24 09:09:08
Case1,W_Shortened completion,res_681d6188-8dd3-468c-993d-0c23015566f1,Role 1,2016-10-24 09:12:29,1031,0,2016-10-24 09:11:25
Case10,W_Handle leads,res_ab6500c1-4400-498e-9ef5-bbbbe9fff4de,Role 1,2016-10-24 09:28:03,1032,0,2016-10-24 09:27:54
Case2,W_Complete application,res_db40ed67-9396-4aad-8464-aaaa9513ad1f,Role 1,2016-10-24 09:32:44,1032,1,2016-10-24 09:30:18
Case5,W_Handle leads,res_8989e21b-3c9a-40f4-abc7-6dcb88c44043,Role 1,2016-10-24 09:38:28,1033,0,2016-10-24 09:38:19
Case4,W_Complete application,res_cf331bc4-1da9-443d-84fa-98a4c792f324,Role 1,2016-10-24 09:42:45,1034,1,2016-10-24 09:40:33
Case9,W_Complete application,res_a5eea062-fc4a-4586-b240-ad1c9a0a278a,Role 1,2016-10-24 09:43:09,1035,2,2016-10-24 09:40:57
Case8,W_Handle leads,res_a5eea062-fc4a-4586-b240-ad1c9a0a278a,Role 1,2016-10-24 09:43:16,1037,0,2016-10-24 09:43:06
Case4,W_Shortened completion,res_a5eea062-fc4a-4586-b240-ad1c9a0a278a,Role 1,2016-10-24 09:43:53,1035,0,2016-10-24 09:42:50
Case6,W_Complete application,res_a5eea062-fc4a-4586-b240-ad1c9a0a278a,Role 1,2016-10-24 09:45:06,1036,2,2016-10-24 09:42:54
Case7,W_Complete application,res_4542479a-d630-480b-8b9e-4c4dfc606310,Role 1,2016-10-24 09:49:56,1038,1,2016-10-24 09:47:44
Case7,W_Shortened completion,res_5c69a110-588d-4312-a8fb-dc9144cc1d88,Role 1,2016-10-24 09:51:04,1038,0,2016-10-24 09:50:01
Case10,W_Complete application,res_5c69a110-588d-4312-a8fb-dc9144cc1d88,Role 1,2016-10-24 09:51:47,1038,2,2016-10-24 09:49:19
Case12,W_Handle leads,res_31e47188-fe1d-4ef7-8fb3-d52cccf42230,Role 1,2016-10-24 09:53:16,1039,0,2016-10-24 09:53:07
Case5,W_Complete application,res_bc06f861-f64d-485e-a25b-866182d31d75,Role 1,2016-10-24 10:02:08,1039,1,2016-10-24 09:59:43
Case11,W_Complete application,res_bc06f861-f64d-485e-a25b-866182d31d75,Role 1,2016-10-24 10:02:34,1040,2,2016-10-24 10:00:22
Case11,W_Shortened completion,res_a5eea062-fc4a-4586-b240-ad1c9a0a278a,Role 1,2016-10-24 10:03:38,1040,0,2016-10-24 10:02:39
Case8,W_Complete application,res_a5eea062-fc4a-4586-b240-ad1c9a0a278a,Role 1,2016-10-24 10:04:27,1040,3,2016-10-24 10:01:59
Case3,W_Handle leads,res_bc4e0cdf-dc66-4a6e-b359-0e9e3a979715,Role 1,2016-10-24 10:08:21,1041,0,2016-10-24 10:08:12
Case21,W_Complete application,res_64449f2d-0049-433b-9c1e-dee91de2e85e,Role 1,2016-10-24 10:11:11,1042,1,2016-10-24 10:08:59
Case12,W_Complete application,res_aac079f1-ae71-444d-8f3a-02d2ce9ff4f9,Role 1,2016-10-24 10:16:51,1042,1,2016-10-24 10:14:26
Case14,W_Handle leads,res_4d2e7e99-195f-425e-88bb-7a5fe95d1058,Role 1,2016-10-24 10:18:52,1043,0,2016-10-24 10:18:43
Case9,W_Call after offers,res_e80179a0-e0f7-42a2-83d2-afc4a3d8a1ef,Role 1,2016-10-24 10:19:59,1043,1,2016-10-24 10:19:18
Case15,W_Complete application,res_8827e069-7380-40e6-a3dd-25c7c576f5d3,Role 1,2016-10-24 10:22:11,1044,1,2016-10-24 10:19:59
Case16,W_Complete application,res_0abbd411-ea7d-44d4-b8d2-ba309d6ca195,Role 1,2016-10-24 10:23:04,1045,2,2016-10-24 10:20:52
Case15,W_Shortened completion,res_06957cd2-fa94-4cac-8641-244241260754,Role 1,2016-10-24 10:23:18,1045,0,2016-10-24 10:22:16
Case16,W_Shortened completion,res_06957cd2-fa94-4cac-8641-244241260754,Role 1,2016-10-24 10:24:11,1045,1,2016-10-24 10:23:09
Case18,W_Handle leads,res_8989e21b-3c9a-40f4-abc7-6dcb88c44043,Role 1,2016-10-24 10:26:05,1046,0,2016-10-24 10:25:56
Case17,W_Complete application,res_8989e21b-3c9a-40f4-abc7-6dcb88c44043,Role 1,2016-10-24 10:28:14,1047,1,2016-10-24 10:26:03
Case6,W_Call after offers,res_acfd3a01-a8e6-4700-aa8b-65a2c46f63e9,Role 1,2016-10-24 10:28:58,1047,1,2016-10-24 10:28:17
Case3,W_Complete application,res_49f3726c-c3cf-4c3e-947a-c2777e193762,Role 1,2016-10-24 10:31:54,1047,1,2016-10-24 10:29:29
Case13,W_Handle leads,res_ff13a220-a628-409c-8a4c-f95f18d5f2fe,Role 1,2016-10-24 10:35:58,1048,0,2016-10-24 10:35:49
Case20,W_Handle leads,res_6b1cbaaa-bb96-4ba5-90ba-47a337086313,Role 1,2016-10-24 10:39:10,1049,0,2016-10-24 10:39:01
Case14,W_Complete application,res_c9b0de3c-5204-4030-bafa-f9aead57f243,Role 1,2016-10-24 10:42:24,1049,1,2016-10-24 10:39:59
