caseid,task,role,start_timestamp,end_timestamp
Case000,start,start,2021-01-20 13:18:25.914,2021-01-20 13:18:25.914
Case000,A,Role 5,2021-01-20 13:20:11.914,2021-01-20 13:22:17.914
Case000,B,Role 5,2021-01-20 13:40:37.914,2021-01-20 13:46:49.914
Case000,G,Role 5,2021-01-20 13:59:15.914,2021-01-20 14:00:05.914
Case000,F,Role 5,2021-01-20 14:00:17.914,2021-01-20 14:00:17.914
Case000,D,Role 5,2021-01-20 14:00:23.914,2021-01-20 14:03:55.914
Case000,H,Role 5,2021-01-20 14:04:05.914,2021-01-20 14:08:15.914
Case000,C,Role 5,2021-01-20 14:08:24.914,2021-01-20 14:10:03.914
Case000,E,Role 5,2021-01-20 14:10:17.914,2021-01-20 14:11:50.914
Case000,I,Role 5,2021-01-20 15:04:06.914,2021-01-20 15:04:06.914
Case000,J,Role 5,2021-01-20 15:13:36.914,2021-01-20 15:14:49.914
Case000,K,Role 5,2021-01-20 15:28:50.914,2021-01-20 15:28:50.914
Case000,N,Role 5,2021-01-20 15:31:08.914,2021-01-20 15:32:00.914
Case000,Y,Role 4,2021-01-20 15:32:02.914,2021-01-20 15:34:11.914
Case000,Z,Role 4,2021-01-20 15:34:11.914,2021-01-20 16:53:48.914
Case000,AA,Role 4,2021-01-20 16:53:48.914,2021-01-20 16:57:11.914
Case000,R,Role 2,2021-01-20 16:57:11.914,2021-01-20 18:29:22.914
Case000,S,Role 2,2021-01-20 18:29:22.914,2021-01-20 18:33:56.914
Case000,T,Role 2,2021-01-20 18:34:14.914,2021-01-20 18:35:54.914
Case000,end,Role 5,2021-01-20 18:36:31.914,2021-01-20 18:36:31.914
Case001,start,start,2021-01-20 18:36:31.914,2021-01-20 18:36:31.914
Case001,A,Role 5,2021-01-20 18:39:32.914,2021-01-20 18:41:52.914
Case001,B,Role 5,2021-01-20 19:11:14.914,2021-01-20 19:19:36.914
Case001,G,Role 5,2021-01-20 19:45:58.914,2021-01-20 19:47:08.914
Case001,F,Role 5,2021-01-20 19:47:21.914,2021-01-20 19:47:21.914
Case001,D,Role 5,2021-01-20 19:47:26.914,2021-01-20 19:51:18.914
Case001,H,Role 5,2021-01-20 19:51:28.914,2021-01-20 19:55:33.914
Case001,C,Role 5,2021-01-20 19:55:41.914,2021-01-20 19:57:20.914
Case001,E,Role 5,2021-01-20 19:57:32.914,2021-01-20 19:59:12.914
Case001,I,Role 5,2021-01-20 20:55:17.914,2021-01-20 20:55:17.914
Case001,J,Role 5,2021-01-20 21:07:54.914,2021-01-20 21:09:02.914
Case001,K,Role 5,2021-01-20 21:23:38.914,2021-01-20 21:23:38.914
Case001,M,Role 5,2021-01-20 21:25:41.914,2021-01-20 21:26:57.914
Case001,BB,Role 5,2021-01-20 21:26:57.914,2021-01-20 21:30:11.914
Case001,CC,Role 1,2021-01-20 21:30:11.914,2021-01-20 21:58:22.914
Case001,DD,Role 4,2021-01-20 21:58:22.914,2021-01-20 22:16:07.914
Case001,DD,Role 2,2021-01-20 22:16:07.914,2021-01-20 22:54:08.914
Case001,R,Role 4,2021-01-20 22:54:08.914,2021-01-20 23:20:35.914
Case001,S,Role 2,2021-01-20 23:20:35.914,2021-01-20 23:27:20.914
Case001,T,Role 2,2021-01-20 23:27:36.914,2021-01-20 23:28:28.914
Case001,I,Role 5,2021-01-20 23:29:10.914,2021-01-20 23:29:10.914
Case001,J,Role 5,2021-01-20 23:32:28.914,2021-01-20 23:33:48.914
Case001,K,Role 5,2021-01-20 23:36:40.914,2021-01-20 23:36:40.914
