caseid,task,role,start_timestamp,end_timestamp
Case0000,start,start,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Prescription received,Role 2,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Process drop-off,Role 1,2019-05-15 06:14:42.635817,2019-05-15 06:16:12.683490
Case0000,Enter prescription details,Role 1,2019-05-16 03:11:08.854847,2019-05-16 03:13:39.291987
Case0000,Check DUR,Role 3,2019-05-16 03:13:39.393467,2019-05-16 03:13:39.422662
Case0000,Check Insurance,Role 3,2019-05-16 03:13:39.518568,2019-05-16 03:13:39.530553
Case0000,Check if refill is allowed,Role 3,2019-05-16 03:13:39.742801,2019-05-16 03:13:39.813957
Case0000,Pack the drugs (Production),Role 1,2019-05-17 07:37:47.765787,2019-05-17 07:41:01.782536
Case0000,Check for Quality Assurance,Role 1,2019-05-17 07:41:01.947270,2019-05-17 07:42:05.693362
Case0000,Pick-up,Role 1,2019-05-19 21:42:32.125145,2019-05-19 21:45:16.686227
Case0000,Prescription fulfilled,Role 2,2019-05-19 21:45:16.804995,2019-05-19 21:45:16.862320
Case0000,end,end,2019-05-19 21:45:16.990551,2019-05-19 21:45:17.037303
Case0001,start,start,2019-05-19 21:45:16.990551,2019-05-19 21:45:16.990551
Case0001,Prescription received,Role 2,2019-05-19 21:45:16.998370,2019-05-19 21:45:16.998370
Case0001,Process drop-off,Role 1,2019-05-20 19:54:48.433853,2019-05-20 19:56:18.897800
Case0001,Enter prescription details,Role 1,2019-05-21 19:36:22.337236,2019-05-21 19:38:52.223297
Case0001,Check if refill is allowed,Role 3,2019-05-21 19:38:52.336150,2019-05-21 19:38:52.369021
Case0001,Check Insurance,Role 3,2019-05-21 19:38:52.479615,2019-05-21 19:38:52.495521
Case0001,Resolve DUR manually,Role 3,2019-05-21 19:38:52.706514,2019-05-21 19:38:52.777468
Case0001,Pack the drugs (Production),Role 1,2019-05-22 20:32:34.415818,2019-05-22 20:35:32.177919
Case0001,Check for Quality Assurance,Role 4,2019-05-22 20:35:32.351376,2019-05-22 20:36:35.638182
Case0001,Pick-up,Role 1,2019-05-24 00:52:53.037641,2019-05-24 00:55:39.145685
Case0001,Prescription fulfilled,Role 2,2019-05-24 00:55:39.263166,2019-05-24 00:55:39.313232
Case0001,end,end,2019-05-24 00:55:39.441030,2019-05-24 00:55:39.489111
Case0002,start,start,2019-05-24 00:55:39.441030,2019-05-24 00:55:39.441030
Case0002,Prescription received,Role 2,2019-05-24 00:55:40.147053,2019-05-24 00:55:40.147053
Case0002,Process drop-off,Role 1,2019-05-26 17:47:54.975384,2019-05-26 17:49:26.289344
Case0002,Enter prescription details,Role 1,2019-05-28 04:04:11.235614,2019-05-28 04:06:43.064319
Case0002,Check if refill is allowed,Role 3,2019-05-28 04:06:43.177068,2019-05-28 04:06:43.205652
Case0002,Check DUR,Role 4,2019-05-28 04:06:43.310211,2019-05-28 04:06:43.322806
Case0002,Check Insurance,Role 3,2019-05-28 04:06:43.427799,2019-05-28 04:06:43.450246
Case0002,Resolve insurance issues manually,Role 1,2019-05-28 04:12:14.675024,2019-05-28 04:12:27.023732
Case0002,Check for Quality Assurance,Role 4,2019-05-28 04:12:30.786469,2019-05-28 04:13:48.949714
Case0002,Pick-up,Role 1,2019-05-28 13:22:10.403731,2019-05-28 13:24:47.275427
Case0002,Prescription fulfilled,Role 2,2019-05-28 13:24:47.376436,2019-05-28 13:24:47.431053
Case0002,end,end,2019-05-28 13:24:47.549637,2019-05-28 13:24:47.596914
Case0003,start,start,2019-05-28 13:24:47.549637,2019-05-28 13:24:47.549637
Case0003,Prescription received,Role 2,2019-05-28 13:24:47.549637,2019-05-28 13:24:47.549637
Case0003,Process drop-off,Role 1,2019-05-29 10:08:57.998458,2019-05-29 10:10:28.149319
Case0003,Enter prescription details,Role 1,2019-05-30 07:55:09.231040,2019-05-30 07:57:39.826970
Case0003,Check if refill is allowed,Role 3,2019-05-30 07:57:39.926783,2019-05-30 07:57:39.954189
Case0003,Check DUR,Role 1,2019-05-30 07:57:40.055609,2019-05-30 07:57:40.066143
Case0003,Check DUR,Role 4,2019-05-30 07:57:40.266406,2019-05-30 07:57:40.337266
Case0003,Check Insurance,Role 3,2019-05-30 07:57:42.031826,2019-05-30 07:57:42.366032
