caseid,task,role,start_timestamp,end_timestamp
Case0000,start,start,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Prescription received,Role 2,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Process drop-off,Role 1,2019-05-15 06:14:42.635817,2019-05-15 06:16:12.683490
Case0000,Enter prescription details,Role 1,2019-05-16 03:11:08.854847,2019-05-16 03:13:39.291987
Case0000,Check DUR,Role 3,2019-05-16 03:13:39.393467,2019-05-16 03:13:39.422662
Case0000,Check if refill is allowed,Role 3,2019-05-16 03:13:39.518568,2019-05-16 03:13:39.530553
Case0000,Check DUR,Role 3,2019-05-16 03:13:39.745622,2019-05-16 03:13:39.812503
Case0000,Pack the drugs (Production),Role 1,2019-05-17 08:31:36.714491,2019-05-17 08:34:51.396924
Case0000,Check for Quality Assurance,Role 4,2019-05-17 08:34:51.566082,2019-05-17 08:35:55.228325
Case0000,Pick-up,Role 1,2019-05-20 10:29:48.032886,2019-05-20 10:32:34.403462
Case0000,Prescription fulfilled,Role 2,2019-05-20 10:32:34.520158,2019-05-20 10:32:34.571057
Case0000,end,end,2019-05-20 10:32:34.693431,2019-05-20 10:32:34.739383
Case0001,start,start,2019-05-20 10:32:34.693431,2019-05-20 10:32:34.693431
Case0001,Prescription received,Role 2,2019-05-20 10:32:34.702409,2019-05-20 10:32:34.702409
Case0001,Process drop-off,Role 1,2019-05-21 07:40:11.630662,2019-05-21 07:41:42.158053
Case0001,Enter prescription details,Role 1,2019-05-22 03:51:43.042036,2019-05-22 03:54:13.189695
Case0001,Check DUR,Role 3,2019-05-22 03:54:13.297081,2019-05-22 03:54:13.325862
Case0001,Check if refill is allowed,Role 3,2019-05-22 03:54:13.433313,2019-05-22 03:54:13.452661
Case0001,Resolve DUR manually,Role 4,2019-05-22 03:54:13.668596,2019-05-22 03:54:13.739228
Case0001,Check Insurance,Role 3,2019-05-22 03:54:14.057753,2019-05-22 03:54:14.124187
Case0001,Pack the drugs (Production),Role 1,2019-05-22 21:04:52.879480,2019-05-22 21:08:03.983541
Case0001,Check for Quality Assurance,Role 4,2019-05-22 21:08:04.145890,2019-05-22 21:09:09.902463
Case0001,Pack the drugs (Production),Role 1,2019-05-23 13:00:03.500469,2019-05-23 13:02:49.377781
Case0001,Prescription fulfilled,Role 2,2019-05-23 13:02:49.499992,2019-05-23 13:02:49.556400
Case0001,end,end,2019-05-23 13:02:49.682865,2019-05-23 13:02:49.729404
Case0002,start,start,2019-05-23 13:02:49.682865,2019-05-23 13:02:49.682865
Case0002,Prescription received,Role 2,2019-05-23 13:02:49.682865,2019-05-23 13:02:49.682865
Case0002,Process drop-off,Role 1,2019-05-24 12:18:54.266093,2019-05-24 12:20:24.622142
Case0002,Enter prescription details,Role 1,2019-05-27 14:44:37.790727,2019-05-27 14:47:10.924446
Case0002,Check Insurance,Role 3,2019-05-27 14:47:11.030184,2019-05-27 14:47:11.052267
Case0002,Check Insurance,Role 3,2019-05-27 14:47:11.145384,2019-05-27 14:47:11.155915
Case0002,Check if refill is allowed,Role 3,2019-05-27 14:47:11.364009,2019-05-27 14:47:11.437086
Case0002,Pack the drugs (Production),Role 1,2019-05-28 20:33:22.295065,2019-05-28 20:36:40.038431
Case0002,Pack the drugs (Production),Role 1,2019-05-28 20:36:40.219132,2019-05-28 20:37:43.920700
Case0002,Check for Quality Assurance,Role 4,2019-05-28 20:37:44.149872,2019-05-28 20:38:28.454853
Case0002,Pick-up,Role 1,2019-05-29 11:12:50.658428,2019-05-29 11:15:37.810138
Case0002,Prescription fulfilled,Role 2,2019-05-29 11:15:37.933401,2019-05-29 11:15:37.980906
Case0002,end,end,2019-05-29 11:15:38.104054,2019-05-29 11:15:38.150184
Case0003,start,start,2019-05-29 11:15:38.104054,2019-05-29 11:15:38.104054
Case0003,Prescription received,Role 2,2019-05-29 11:15:38.116302,2019-05-29 11:15:38.116302
Case0003,Process drop-off,Role 1,2019-05-30 08:38:26.540705,2019-05-30 08:39:57.225033
Case0003,Enter prescription details,Role 1,2019-05-31 09:04:53.593378,2019-05-31 09:07:24.796605
Case0003,Check Insurance,Role 3,2019-05-31 09:07:24.927465,2019-05-31 09:07:24.954286
