caseid,task,role,start_timestamp,end_timestamp
Case0000,start,start,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Prescription received,Role 2,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Process drop-off,Role 1,2019-05-15 06:14:42.635817,2019-05-15 06:16:12.683490
Case0000,Enter prescription details,Role 1,2019-05-16 03:11:08.854847,2019-05-16 03:13:39.291987
Case0000,Check Insurance,Role 3,2019-05-16 03:13:39.393467,2019-05-16 03:13:39.422662
Case0000,Check if refill is allowed,Role 3,2019-05-16 03:13:39.516299,2019-05-16 03:13:39.528396
Case0000,Check Insurance,Role 3,2019-05-16 03:13:39.742780,2019-05-16 03:13:39.809440
Case0000,Pack the drugs (Production),Role 1,2019-05-17 08:38:01.001618,2019-05-17 08:41:15.714334
Case0000,Pack the drugs (Production),Role 4,2019-05-17 08:41:15.886908,2019-05-17 08:42:19.511414
Case0000,Check for Quality Assurance,Role 4,2019-05-17 08:42:24.012211,2019-05-17 08:42:28.468172
Case0000,Pick-up,Role 1,2019-05-19 10:11:04.213044,2019-05-19 10:13:46.138672
Case0000,Prescription fulfilled,Role 2,2019-05-19 10:13:46.261398,2019-05-19 10:13:46.310033
Case0000,end,end,2019-05-19 10:13:46.437877,2019-05-19 10:13:46.484012
Case0001,start,start,2019-05-19 10:13:46.437877,2019-05-19 10:13:46.437877
Case0001,Prescription received,Role 2,2019-05-19 10:13:46.445621,2019-05-19 10:13:46.445621
Case0001,Process drop-off,Role 1,2019-05-20 07:14:20.550426,2019-05-20 07:15:50.500263
Case0001,Enter prescription details,Role 1,2019-05-21 02:46:13.614063,2019-05-21 02:48:43.215672
Case0001,Check if refill is allowed,Role 3,2019-05-21 02:48:43.332300,2019-05-21 02:48:43.371117
Case0001,Check DUR,Role 3,2019-05-21 02:48:43.487862,2019-05-21 02:48:43.510699
Case0001,Check DUR,Role 3,2019-05-21 02:48:43.718750,2019-05-21 02:48:43.790018
Case0001,Resolve insurance issues manually,Role 1,2019-05-21 12:36:53.718287,2019-05-21 12:40:04.383428
Case0001,Check for Quality Assurance,Role 1,2019-05-21 12:40:04.551486,2019-05-21 12:41:08.247123
Case0001,Pick-up,Role 1,2019-05-21 17:06:29.520704,2019-05-21 17:09:10.253584
Case0001,Prescription fulfilled,Role 2,2019-05-21 17:09:10.375391,2019-05-21 17:09:10.430830
Case0001,end,end,2019-05-21 17:09:10.554329,2019-05-21 17:09:10.601386
Case0002,start,start,2019-05-21 17:09:10.554329,2019-05-21 17:09:10.554329
Case0002,Prescription received,Role 2,2019-05-21 17:09:10.554329,2019-05-21 17:09:10.554329
Case0002,Process drop-off,Role 1,2019-05-22 13:56:30.104003,2019-05-22 13:58:00.360446
Case0002,Enter prescription details,Role 1,2019-05-23 12:55:12.543387,2019-05-23 12:57:43.402647
Case0002,Check if refill is allowed,Role 3,2019-05-23 12:57:43.501200,2019-05-23 12:57:43.527096
Case0002,Check Insurance,Role 3,2019-05-23 12:57:43.626609,2019-05-23 12:57:43.635250
Case0002,Check DUR,Role 4,2019-05-23 12:57:43.847289,2019-05-23 12:57:43.917622
Case0002,Pack the drugs (Production),Role 3,2019-05-23 14:23:21.472944,2019-05-23 14:24:00.665136
Case0002,Check for Quality Assurance,Role 4,2019-05-23 14:24:01.021246,2019-05-23 14:25:05.537027
Case0002,Pick-up,Role 1,2019-05-24 22:06:08.073473,2019-05-24 22:08:48.857602
Case0002,Prescription fulfilled,Role 2,2019-05-24 22:08:48.971018,2019-05-24 22:08:49.024682
Case0002,end,end,2019-05-24 22:08:49.152568,2019-05-24 22:08:49.200993
Case0003,start,start,2019-05-24 22:08:49.152568,2019-05-24 22:08:49.152568
Case0003,Prescription received,Role 2,2019-05-24 22:08:51.689136,2019-05-24 22:08:51.689136
Case0003,Process drop-off,Role 1,2019-05-28 02:12:48.116595,2019-05-28 02:14:20.357882
Case0003,Enter prescription details,Role 1,2019-05-29 05:03:17.661238,2019-05-29 05:05:48.082109
Case0003,Check if refill is allowed,Role 3,2019-05-29 05:05:48.176061,2019-05-29 05:05:48.189981
Case0003,Check Insurance,Role 3,2019-05-29 05:05:48.284219,2019-05-29 05:05:48.288277
