caseid,task,role,start_timestamp,end_timestamp
Case0000,start,start,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Prescription received,Role 2,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Process drop-off,Role 1,2019-05-15 06:14:42.635817,2019-05-15 06:16:12.683490
Case0000,Enter prescription details,Role 1,2019-05-16 03:11:08.854847,2019-05-16 03:13:39.291987
Case0000,Check if refill is allowed,Role 3,2019-05-16 03:13:39.393467,2019-05-16 03:13:39.422662
Case0000,Check Insurance,Role 3,2019-05-16 03:13:39.526145,2019-05-16 03:13:39.538759
Case0000,Check DUR,Role 3,2019-05-16 03:13:39.753941,2019-05-16 03:13:39.826537
Case0000,Resolve insurance issues manually,Role 1,2019-05-17 08:59:26.106134,2019-05-17 09:02:40.567041
Case0000,Check for Quality Assurance,Role 4,2019-05-17 09:02:40.736431,2019-05-17 09:03:44.612569
Case0000,Pick-up,Role 1,2019-05-20 10:59:25.346983,2019-05-20 11:02:11.793618
Case0000,Prescription fulfilled,Role 2,2019-05-20 11:02:11.910644,2019-05-20 11:02:11.961745
Case0000,end,end,2019-05-20 11:02:12.084190,2019-05-20 11:02:12.130092
Case0001,start,start,2019-05-20 11:02:12.084190,2019-05-20 11:02:12.084190
Case0001,Prescription received,Role 2,2019-05-20 11:02:12.093142,2019-05-20 11:02:12.093142
Case0001,Process drop-off,Role 1,2019-05-21 08:10:41.432483,2019-05-21 08:12:11.970951
Case0001,Enter prescription details,Role 1,2019-05-22 04:28:54.900786,2019-05-22 04:31:25.075716
Case0001,Check DUR,Role 3,2019-05-22 04:31:25.182697,2019-05-22 04:31:25.211201
Case0001,Check if refill is allowed,Role 3,2019-05-22 04:31:25.318518,2019-05-22 04:31:25.337693
Case0001,Check if refill is allowed,Role 4,2019-05-22 04:31:25.553343,2019-05-22 04:31:25.623770
Case0001,Pack the drugs (Production),Role 1,2019-05-22 08:59:34.266494,2019-05-22 09:00:56.159086
Case0001,Check for Quality Assurance,Role 4,2019-05-22 09:00:56.321960,2019-05-22 09:01:58.392599
Case0001,Pick-up,Role 1,2019-05-22 23:14:13.792149,2019-05-22 23:16:57.006612
Case0001,Check for Quality Assurance,Role 4,2019-05-22 23:16:57.121567,2019-05-22 23:16:57.177909
Case0001,Pick-up,Role 1,2019-05-23 18:32:09.674582,2019-05-23 18:35:01.077927
Case0001,Prescription fulfilled,Role 2,2019-05-23 18:35:01.207827,2019-05-23 18:35:01.260824
Case0001,end,end,2019-05-23 18:35:01.391127,2019-05-23 18:35:01.437487
Case0002,start,start,2019-05-23 18:35:01.391127,2019-05-23 18:35:01.391127
Case0002,Prescription received,Role 2,2019-05-23 18:35:01.391601,2019-05-23 18:35:01.391601
Case0002,Process drop-off,Role 1,2019-05-24 19:02:22.383899,2019-05-24 19:03:52.868039
Case0002,Enter prescription details,Role 1,2019-05-28 00:08:25.744352,2019-05-28 00:10:58.942800
Case0002,Check if refill is allowed,Role 3,2019-05-28 00:10:59.054031,2019-05-28 00:10:59.075745
Case0002,Check Insurance,Role 3,2019-05-28 00:10:59.169485,2019-05-28 00:10:59.173040
Case0002,Check if refill is allowed,Role 4,2019-05-28 00:10:59.377834,2019-05-28 00:10:59.445880
Case0002,Pack the drugs (Production),Role 1,2019-05-28 02:51:09.343360,2019-05-28 02:52:13.847491
Case0002,Check for Quality Assurance,Role 4,2019-05-28 02:52:14.078863,2019-05-28 02:53:19.139334
Case0002,Pack the drugs (Production),Role 1,2019-05-28 20:35:30.975629,2019-05-28 20:38:13.448647
Case0002,Prescription fulfilled,Role 2,2019-05-28 20:38:13.563305,2019-05-28 20:38:13.614339
Case0002,end,end,2019-05-28 20:38:13.737348,2019-05-28 20:38:13.784689
Case0003,start,start,2019-05-28 20:38:13.737348,2019-05-28 20:38:13.737348
Case0003,Prescription received,Role 2,2019-05-28 20:38:13.737348,2019-05-28 20:38:13.737348
Case0003,Process drop-off,Role 1,2019-05-29 17:29:38.441653,2019-05-29 17:31:08.801789
Case0003,Enter prescription details,Role 1,2019-05-30 17:39:42.107239,2019-05-30 17:42:13.143013
Case0003,Check Insurance,Role 3,2019-05-30 17:42:13.240934,2019-05-30 17:42:13.265582
