caseid,task,role,start_timestamp,end_timestamp
Case0000,start,start,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Prescription received,Role 2,2019-05-14 09:32:45.254000,2019-05-14 09:32:45.254000
Case0000,Process drop-off,Role 1,2019-05-15 06:14:42.635817,2019-05-15 06:16:12.683490
Case0000,Enter prescription details,Role 1,2019-05-16 03:11:08.854847,2019-05-16 03:13:39.291987
Case0000,Check if refill is allowed,Role 3,2019-05-16 03:13:39.393467,2019-05-16 03:13:39.422662
Case0000,Resolve DUR manually,Role 3,2019-05-16 03:13:39.526145,2019-05-16 03:13:39.538759
Case0000,Resolve DUR manually,Role 3,2019-05-16 03:13:39.739352,2019-05-16 03:13:39.803697
Case0000,Pack the drugs (Production),Role 1,2019-05-17 02:59:50.885897,2019-05-17 03:02:47.165725
Case0000,Check for Quality Assurance,Role 4,2019-05-17 03:02:47.384492,2019-05-17 03:03:51.629962
Case0000,Pick-up,Role 1,2019-05-20 01:05:09.221792,2019-05-20 01:07:56.406617
Case0000,Prescription fulfilled,Role 2,2019-05-20 01:07:56.520515,2019-05-20 01:07:56.572225
Case0000,end,end,2019-05-20 01:07:56.693131,2019-05-20 01:07:56.738474
Case0001,start,start,2019-05-20 01:07:56.693131,2019-05-20 01:07:56.693131
Case0001,Prescription received,Role 2,2019-05-20 01:07:56.703390,2019-05-20 01:07:56.703390
Case0001,Process drop-off,Role 1,2019-05-20 22:04:59.843364,2019-05-20 22:06:30.162805
Case0001,Enter prescription details,Role 1,2019-05-21 18:29:19.632401,2019-05-21 18:31:49.056514
Case0001,Check DUR,Role 3,2019-05-21 18:31:49.173341,2019-05-21 18:31:49.210662
Case0001,Check DUR,Role 3,2019-05-21 18:31:49.321009,2019-05-21 18:31:49.342214
Case0001,Check if refill is allowed,Role 3,2019-05-21 18:31:49.550351,2019-05-21 18:31:49.620438
Case0001,Pack the drugs (Production),Role 1,2019-05-22 16:23:41.900911,2019-05-22 16:26:55.477794
Case0001,Check for Quality Assurance,Role 4,2019-05-22 16:26:55.633660,2019-05-22 16:27:58.940412
Case0001,Pick-up,Role 1,2019-05-23 17:10:45.398081,2019-05-23 17:13:30.567801
Case0001,Prescription fulfilled,Role 2,2019-05-23 17:13:30.686033,2019-05-23 17:13:30.737169
Case0001,end,end,2019-05-23 17:13:30.863324,2019-05-23 17:13:30.910829
Case0002,start,start,2019-05-23 17:13:30.863324,2019-05-23 17:13:30.863324
Case0002,Prescription received,Role 2,2019-05-23 17:13:30.863324,2019-05-23 17:13:30.863324
Case0002,Process drop-off,Role 1,2019-05-24 17:21:17.421350,2019-05-24 17:22:47.871748
Case0002,Enter prescription details,Role 1,2019-05-27 21:50:13.717657,2019-05-27 21:52:46.903327
Case0002,Check Insurance,Role 3,2019-05-27 21:52:47.006938,2019-05-27 21:52:47.027011
Case0002,Check if refill is allowed,Role 3,2019-05-27 21:52:47.119826,2019-05-27 21:52:47.129027
Case0002,Resolve DUR manually,Role 3,2019-05-27 21:52:47.333873,2019-05-27 21:52:47.401108
Case0002,Pick-up,Role 1,2019-05-28 15:58:11.248988,2019-05-28 16:00:48.248325
Case0002,Check for Quality Assurance,Role 4,2019-05-28 16:00:48.592626,2019-05-28 16:01:53.235257
Case0002,Pick-up,Role 1,2019-05-29 17:01:45.301358,2019-05-29 17:04:33.944407
Case0002,Prescription fulfilled,Role 2,2019-05-29 17:04:34.058370,2019-05-29 17:04:34.110609
Case0002,end,end,2019-05-29 17:04:34.233957,2019-05-29 17:04:34.280694
Case0003,start,start,2019-05-29 17:04:34.233957,2019-05-29 17:04:34.233957
Case0003,Prescription received,Role 2,2019-05-29 17:04:34.249407,2019-05-29 17:04:34.249407
Case0003,Process drop-off,Role 1,2019-05-30 15:03:10.138217,2019-05-30 15:04:41.027822
Case0003,Enter prescription details,Role 1,2019-05-31 17:21:55.490170,2019-05-31 17:24:26.731856
Case0003,Resolve DUR manually,Role 3,2019-05-31 17:24:26.863754,2019-05-31 17:24:26.887889
Case0003,Contact Doctor about refill,Role 3,2019-05-31 17:24:26.981868,2019-05-31 17:24:26.990791
Case0003,Check Insurance,Role 3,2019-05-31 17:24:27.441109,2019-05-31 17:24:27.610762
